qa,fold,blk,ninv,correct,ncov,nact
training_2453,2,"('user3', '4', '1')",1,0,4,4
training_2454,2,"('user3', '4', '1')",1,0,4,4
training_2455,2,"('user3', '4', '1')",1,0,4,4
training_2456,2,"('user3', '5', '2')",0,1,2,4
training_2457,2,"('user3', '5', '2')",0,1,2,4
training_2458,2,"('user3', '5', '2')",0,1,2,4
training_2462,2,"('user3', '7', '1')",0,1,4,4
training_2463,2,"('user3', '7', '1')",0,1,4,4
training_2464,2,"('user3', '7', '1')",0,1,4,4
training_2465,1,"('user4', '3', '2')",1,0,6,4
training_2466,1,"('user4', '3', '2')",0,1,6,4
training_2467,1,"('user4', '3', '2')",0,1,6,4
training_2468,1,"('user4', '5', '2')",0,1,5,4
training_2469,1,"('user4', '5', '2')",0,1,5,4
training_2470,1,"('user4', '5', '2')",0,1,5,4
training_2471,1,"('user4', '6', '1')",3,0,0,4
training_2472,1,"('user4', '6', '1')",1,0,0,4
training_2473,1,"('user4', '6', '1')",3,0,0,4
training_2474,1,"('user4', '7', '2')",0,1,1,4
training_2475,1,"('user4', '7', '2')",0,1,1,4
training_2476,1,"('user4', '7', '2')",0,1,1,4
training_2477,3,"('user5', '3', '1')",0,1,1,4
training_2478,3,"('user5', '3', '1')",0,1,1,4
training_2479,3,"('user5', '3', '1')",0,1,1,4
training_2480,3,"('user5', '6', '1')",0,1,0,4
training_2481,3,"('user5', '6', '1')",0,1,0,4
training_2482,3,"('user5', '6', '1')",0,1,0,4
training_2483,3,"('user5', '7', '1')",1,0,0,4
training_2484,3,"('user5', '7', '1')",2,0,0,4
training_2485,3,"('user5', '7', '1')",3,0,0,4
training_2486,0,"('user6', '3', '1')",0,1,0,4
training_2487,0,"('user6', '3', '1')",0,1,0,4
training_2488,0,"('user6', '3', '1')",0,1,0,4
training_2489,0,"('user6', '4', '1')",2,0,6,4
training_2490,0,"('user6', '4', '1')",0,1,6,4
training_2491,0,"('user6', '4', '1')",1,0,6,4
training_2492,0,"('user6', '5', '3')",0,1,1,4
training_2493,0,"('user6', '5', '3')",0,1,1,4
training_2494,0,"('user6', '5', '3')",1,0,1,4
training_2495,0,"('user6', '6', '2')",1,0,5,4
training_2496,0,"('user6', '6', '2')",2,0,5,4
training_2497,0,"('user6', '6', '2')",2,0,5,4
training_2498,0,"('user6', '7', '3')",0,1,1,4
training_2499,0,"('user6', '7', '3')",0,1,1,4
training_2500,0,"('user6', '7', '3')",0,1,1,4
training_2501,4,"('user7', '1', '1')",0,1,2,4
training_2502,4,"('user7', '1', '1')",0,1,2,4
training_2503,4,"('user7', '1', '1')",0,1,2,4
training_2504,4,"('user7', '1', '2')",1,0,3,4
training_2505,4,"('user7', '1', '2')",1,0,3,4
training_2506,4,"('user7', '1', '2')",2,0,3,4
training_2507,4,"('user7', '2', '2')",0,1,4,4
training_2508,4,"('user7', '2', '2')",0,1,4,4
training_2509,4,"('user7', '2', '2')",0,1,4,4
training_2510,4,"('user7', '3', '1')",0,1,2,4
training_2511,4,"('user7', '3', '1')",0,1,2,4
training_2512,4,"('user7', '3', '1')",0,1,2,4
training_2513,4,"('user7', '4', '1')",0,1,2,4
training_2514,4,"('user7', '4', '1')",0,1,2,4
training_2515,4,"('user7', '4', '1')",0,1,2,4
training_2516,4,"('user7', '6', '1')",0,1,0,4
training_2517,4,"('user7', '6', '1')",0,1,0,4
training_2518,4,"('user7', '6', '1')",0,1,0,4
training_2519,4,"('user7', '6', '3')",0,1,1,4
training_2521,4,"('user7', '6', '3')",0,1,1,4
training_2522,3,"('user8', '1', '2')",0,1,3,4
training_2523,3,"('user8', '1', '2')",0,1,3,4
training_2524,3,"('user8', '1', '2')",0,1,3,4
training_2525,3,"('user8', '2', '1')",0,1,0,4
training_2526,3,"('user8', '2', '1')",1,0,0,4
training_2527,3,"('user8', '2', '1')",0,1,0,4
training_2528,3,"('user8', '4', '1')",1,0,2,4
training_2529,3,"('user8', '4', '1')",1,0,2,4
training_2530,3,"('user8', '4', '1')",1,0,2,4
training_2531,3,"('user8', '5', '1')",1,0,4,4
training_2532,3,"('user8', '5', '1')",1,0,4,4
training_2533,3,"('user8', '5', '1')",2,0,4,4
training_2534,3,"('user8', '6', '1')",0,1,1,4
training_2535,3,"('user8', '6', '1')",0,1,1,4
training_2536,3,"('user8', '6', '1')",0,1,1,4
training_2537,3,"('user8', '6', '2')",0,1,1,4
training_2538,3,"('user8', '6', '2')",1,0,1,4
training_2539,3,"('user8', '6', '2')",1,0,1,4
training_2540,3,"('user8', '7', '1')",0,1,5,4
training_2541,3,"('user8', '7', '1')",0,1,5,4
training_2542,3,"('user8', '7', '1')",0,1,5,4
training_2543,0,"('user9', '1', '1')",0,1,4,4
training_2544,0,"('user9', '1', '1')",0,1,4,4
training_2545,0,"('user9', '1', '1')",0,1,4,4
training_2546,0,"('user9', '1', '2')",0,1,1,4
training_2547,0,"('user9', '1', '2')",0,1,1,4
training_2548,0,"('user9', '1', '2')",0,1,1,4
training_2549,0,"('user9', '3', '3')",0,1,4,4
training_2550,0,"('user9', '3', '3')",0,1,4,4
training_2551,0,"('user9', '3', '3')",0,1,4,4
training_2552,0,"('user9', '5', '3')",0,1,1,4
training_2553,0,"('user9', '5', '3')",0,1,1,4
training_2554,0,"('user9', '5', '3')",0,1,1,4
training_2555,0,"('user9', '6', '1')",0,1,1,4
training_2556,0,"('user9', '6', '1')",0,1,1,4
training_2557,0,"('user9', '6', '1')",0,1,1,4
training_2558,0,"('user9', '6', '2')",0,1,0,4
training_2559,0,"('user9', '6', '2')",1,0,0,4
training_2560,0,"('user9', '6', '2')",1,0,0,4
training_2561,0,"('user9', '7', '2')",0,1,1,4
training_2562,0,"('user9', '7', '2')",0,1,1,4
training_2563,0,"('user9', '7', '2')",0,1,1,4
training_2564,2,"('user16', '3', '1')",1,0,2,4
training_2565,2,"('user16', '3', '1')",2,0,2,4
training_2566,2,"('user16', '3', '1')",1,0,2,4
training_2567,2,"('user16', '4', '1')",0,1,4,4
training_2568,2,"('user16', '4', '1')",3,0,4,4
training_2569,2,"('user16', '4', '1')",0,1,4,4
training_2570,2,"('user16', '5', '3')",0,1,3,4
training_2571,2,"('user16', '5', '3')",0,1,3,4
training_2572,2,"('user16', '5', '3')",0,1,3,4
training_2573,2,"('user16', '6', '1')",1,0,3,4
training_2574,2,"('user16', '6', '1')",1,0,3,4
training_2575,2,"('user16', '6', '1')",1,0,3,4
training_2576,2,"('user16', '6', '2')",0,1,5,4
training_2577,2,"('user16', '6', '2')",0,1,5,4
training_2578,2,"('user16', '6', '2')",1,0,5,4
training_2579,2,"('user16', '7', '3')",0,1,4,4
training_2580,2,"('user16', '7', '3')",0,1,4,4
training_2581,2,"('user16', '7', '3')",0,1,4,4
training_2582,4,"('user17', '1', '1')",0,1,2,4
training_2583,4,"('user17', '1', '1')",0,1,2,4
training_2584,4,"('user17', '1', '1')",0,1,2,4
training_2585,4,"('user17', '1', '2')",0,1,4,4
training_2586,4,"('user17', '1', '2')",0,1,4,4
training_2587,4,"('user17', '1', '2')",0,1,4,4
training_2588,4,"('user17', '2', '2')",0,1,4,4
training_2589,4,"('user17', '2', '2')",0,1,4,4
training_2590,4,"('user17', '2', '2')",0,1,4,4
training_2591,4,"('user17', '3', '1')",0,1,2,4
training_2592,4,"('user17', '3', '1')",0,1,2,4
training_2593,4,"('user17', '3', '1')",0,1,2,4
training_2594,4,"('user17', '4', '1')",1,0,4,4
training_2595,4,"('user17', '4', '1')",0,1,4,4
training_2596,4,"('user17', '4', '1')",0,1,4,4
training_2597,4,"('user17', '6', '1')",0,1,2,4
training_2598,4,"('user17', '6', '1')",0,1,2,4
training_2599,4,"('user17', '6', '1')",0,1,2,4
training_2600,4,"('user17', '6', '3')",0,1,0,4
training_2601,4,"('user17', '6', '3')",0,1,0,4
training_2602,4,"('user17', '6', '3')",0,1,0,4
training_2603,2,"('user18', '1', '2')",0,1,3,4
training_2604,2,"('user18', '1', '2')",0,1,3,4
training_2605,2,"('user18', '1', '2')",0,1,3,4
training_2606,2,"('user18', '2', '1')",0,1,2,4
training_2607,2,"('user18', '2', '1')",0,1,2,4
training_2608,2,"('user18', '2', '1')",0,1,2,4
training_2609,2,"('user18', '4', '1')",0,1,0,4
training_2610,2,"('user18', '4', '1')",0,1,0,4
training_2611,2,"('user18', '4', '1')",1,0,0,4
training_2612,2,"('user18', '5', '1')",0,1,1,4
training_2613,2,"('user18', '5', '1')",0,1,1,4
training_2614,2,"('user18', '5', '1')",0,1,1,4
training_2615,2,"('user18', '6', '1')",0,1,1,4
training_2616,2,"('user18', '6', '1')",0,1,1,4
training_2617,2,"('user18', '6', '1')",0,1,1,4
training_2618,2,"('user18', '6', '2')",0,1,4,4
training_2619,2,"('user18', '6', '2')",0,1,4,4
training_2620,2,"('user18', '6', '2')",0,1,4,4
training_2621,2,"('user18', '7', '1')",0,1,2,4
training_2622,2,"('user18', '7', '1')",0,1,2,4
training_2623,2,"('user18', '7', '1')",1,0,2,4
training_2624,3,"('user19', '1', '1')",0,1,2,4
training_2625,3,"('user19', '1', '1')",0,1,2,4
training_2626,3,"('user19', '1', '1')",0,1,2,4
training_2627,3,"('user19', '1', '2')",0,1,0,4
training_2628,3,"('user19', '1', '2')",0,1,0,4
training_2629,3,"('user19', '1', '2')",0,1,0,4
training_2630,3,"('user19', '3', '3')",0,1,2,4
training_2631,3,"('user19', '3', '3')",0,1,2,4
training_2632,3,"('user19', '3', '3')",0,1,2,4
training_2633,3,"('user19', '5', '3')",0,1,1,4
training_2634,3,"('user19', '5', '3')",0,1,1,4
training_2635,3,"('user19', '5', '3')",0,1,1,4
training_2636,3,"('user19', '6', '1')",0,1,1,4
training_2637,3,"('user19', '6', '1')",1,0,1,4
training_2638,3,"('user19', '6', '1')",1,0,1,4
training_2639,3,"('user19', '6', '2')",1,0,1,4
training_2640,3,"('user19', '6', '2')",0,1,1,4
training_2641,3,"('user19', '6', '2')",1,0,1,4
training_2642,3,"('user19', '7', '2')",0,1,4,4
training_2643,3,"('user19', '7', '2')",0,1,4,4
training_2644,3,"('user19', '7', '2')",0,1,4,4
training_2645,1,"('user20', '2', '1')",0,1,3,4
training_2646,1,"('user20', '2', '1')",0,1,3,4
training_2647,1,"('user20', '2', '1')",0,1,3,4
training_2648,1,"('user20', '2', '2')",0,1,1,4
training_2649,1,"('user20', '2', '2')",0,1,1,4
training_2650,1,"('user20', '2', '2')",0,1,1,4
training_2651,1,"('user20', '4', '1')",1,0,1,4
training_2652,1,"('user20', '4', '1')",3,0,1,4
training_2653,1,"('user20', '4', '1')",1,0,1,4
training_2654,1,"('user20', '4', '2')",0,1,6,4
training_2655,1,"('user20', '4', '2')",0,1,6,4
training_2656,1,"('user20', '4', '2')",0,1,6,4
training_2657,1,"('user20', '6', '3')",0,1,1,4
training_2658,1,"('user20', '6', '3')",0,1,1,4
training_2659,1,"('user20', '6', '3')",0,1,1,4
training_2660,4,"('user21', '2', '2')",1,0,0,4
training_2661,4,"('user21', '2', '2')",1,0,0,4
training_2662,4,"('user21', '2', '2')",1,0,0,4
training_2663,4,"('user21', '3', '2')",0,1,0,4
training_2664,4,"('user21', '3', '2')",0,1,0,4
training_2665,4,"('user21', '3', '2')",0,1,0,4
training_2666,4,"('user21', '4', '1')",0,1,3,4
training_2667,4,"('user21', '4', '1')",0,1,3,4
training_2668,4,"('user21', '4', '1')",0,1,3,4
training_2669,4,"('user21', '5', '2')",0,1,2,4
training_2670,4,"('user21', '5', '2')",0,1,2,4
training_2671,4,"('user21', '5', '2')",0,1,2,4
training_2672,1,"('user22', '1', '2')",0,1,1,4
training_2673,1,"('user22', '1', '2')",0,1,1,4
training_2674,1,"('user22', '1', '2')",0,1,1,4
training_2675,1,"('user22', '2', '1')",2,0,1,4
training_2676,1,"('user22', '2', '1')",1,0,1,4
training_2677,1,"('user22', '2', '1')",2,0,1,4
training_2678,1,"('user22', '2', '2')",0,1,3,4
training_2679,1,"('user22', '2', '2')",0,1,3,4
training_2680,1,"('user22', '2', '2')",0,1,3,4
training_2681,1,"('user22', '5', '2')",0,1,0,4
training_2682,1,"('user22', '5', '2')",0,1,0,4
training_2683,1,"('user22', '5', '2')",0,1,0,4
training_2684,1,"('user22', '6', '2')",2,0,2,4
training_2685,1,"('user22', '6', '2')",0,1,2,4
training_2686,1,"('user22', '6', '2')",3,0,2,4
training_2687,1,"('user22', '7', '2')",0,1,5,4
training_2688,1,"('user22', '7', '2')",0,1,5,4
training_2689,1,"('user22', '7', '2')",0,1,5,4
training_2690,1,"('user23', '3', '2')",0,1,0,4
training_2691,1,"('user23', '3', '2')",0,1,0,4
training_2692,1,"('user23', '3', '2')",0,1,0,4
training_2693,1,"('user23', '5', '3')",3,0,2,4
training_2694,1,"('user23', '7', '1')",2,0,1,4
training_2695,1,"('user23', '7', '1')",2,0,1,4
training_2696,1,"('user23', '7', '1')",2,0,1,4
training_2697,1,"('user23', '7', '3')",0,1,1,4
training_2698,1,"('user23', '7', '3')",0,1,1,4
training_2699,1,"('user23', '7', '3')",0,1,1,4
training_2700,2,"('user24', '1', '2')",0,1,1,4
training_2701,2,"('user24', '1', '2')",1,0,1,4
training_2702,2,"('user24', '1', '2')",0,1,1,4
training_2703,2,"('user24', '3', '2')",1,0,4,4
training_2704,2,"('user24', '3', '2')",0,1,4,4
training_2705,2,"('user24', '3', '2')",1,0,4,4
training_2706,2,"('user24', '4', '1')",0,1,4,4
training_2707,2,"('user24', '4', '1')",0,1,4,4
training_2708,2,"('user24', '4', '1')",0,1,4,4
training_2709,2,"('user24', '5', '1')",0,1,1,4
training_2710,2,"('user24', '5', '1')",0,1,1,4
training_2711,2,"('user24', '5', '1')",0,1,1,4
training_2712,2,"('user24', '5', '3')",0,1,2,4
training_2713,2,"('user24', '5', '3')",0,1,2,4
training_2714,2,"('user24', '5', '3')",0,1,2,4
training_2715,2,"('user24', '6', '2')",0,1,2,4
training_2716,2,"('user24', '6', '2')",0,1,2,4
training_2717,2,"('user24', '6', '2')",0,1,2,4
training_2718,2,"('user24', '7', '1')",0,1,4,4
training_2719,2,"('user24', '7', '1')",0,1,4,4
training_2720,2,"('user24', '7', '1')",0,1,4,4
training_2721,2,"('user24', '7', '2')",0,1,3,4
training_2722,2,"('user24', '7', '2')",0,1,3,4
training_2723,2,"('user24', '7', '2')",0,1,3,4
