qa,fold,ans,base,new,bc,nc,ncov,cov
training_2448,2,ABDC,ADBC,ADBC,False,False,2,2-3
training_2449,2,DCBA,DBCA,DBCA,False,False,2,2-3
training_2450,2,BACD,BCAD,BCAD,False,False,1,1
training_2451,2,ACBD,ACBD,ACBD,True,True,1,1
training_2452,2,ABDC,ABDC,ABDC,True,True,1,1
training_2453,2,CBAD,CBAD,CABD,True,False,4,4+
training_2454,2,CBAD,CBAD,CABD,True,False,4,4+
training_2455,2,BACD,BACD,BCAD,True,False,4,4+
training_2456,2,CABD,CABD,CABD,True,True,2,2-3
training_2457,2,DBCA,DBCA,DBCA,True,True,2,2-3
training_2458,2,CBAD,CBAD,CBAD,True,True,2,2-3
training_2462,2,ADBC,ADBC,ADBC,True,True,4,4+
training_2463,2,CABD,CABD,CABD,True,True,4,4+
training_2464,2,ABDC,ABDC,ABDC,True,True,4,4+
training_2465,1,BACD,ABCD,ABCD,False,False,6,4+
training_2466,1,CBDA,DCBA,CBDA,False,True,6,4+
training_2467,1,ABCD,BACD,ABCD,False,True,6,4+
training_2468,1,CDBA,CBDA,CDBA,False,True,5,4+
training_2469,1,CDBA,CBDA,CDBA,False,True,5,4+
training_2470,1,BDAC,BCDA,BDAC,False,True,5,4+
training_2471,1,CBAD,BADC,BADC,False,False,0,0
training_2472,1,DABC,DBAC,DBAC,False,False,0,0
training_2473,1,DCBA,CBAD,CBAD,False,False,0,0
training_2474,1,CABD,CABD,CABD,True,True,1,1
training_2475,1,BDCA,BDCA,BDCA,True,True,1,1
training_2476,1,ACDB,ACDB,ACDB,True,True,1,1
training_2477,3,CABD,CABD,CABD,True,True,1,1
training_2478,3,DACB,DACB,DACB,True,True,1,1
training_2479,3,CBDA,CBDA,CBDA,True,True,1,1
training_2480,3,ACBD,ACBD,ACBD,True,True,0,0
training_2481,3,DCBA,DCBA,DCBA,True,True,0,0
training_2482,3,DBAC,DBAC,DBAC,True,True,0,0
training_2483,3,BDAC,BADC,BADC,False,False,0,0
training_2484,3,BACD,BDAC,BDAC,False,False,0,0
training_2485,3,ADBC,DCAB,DCAB,False,False,0,0
training_2486,0,BDAC,BDAC,BDAC,True,True,0,0
training_2487,0,DACB,DACB,DACB,True,True,0,0
training_2488,0,DCAB,DCAB,DCAB,True,True,0,0
training_2489,0,BACD,ACDB,ACBD,False,False,6,4+
training_2490,0,DBAC,DBAC,DBAC,True,True,6,4+
training_2491,0,ABDC,BDCA,BADC,False,False,6,4+
training_2492,0,BADC,BADC,BADC,True,True,1,1
training_2493,0,DCAB,DCAB,DCAB,True,True,1,1
training_2494,0,BCDA,CBDA,CBDA,False,False,1,1
training_2495,0,ADCB,DCAB,DACB,False,False,5,4+
training_2496,0,DBCA,BACD,BDAC,False,False,5,4+
training_2497,0,CDAB,CABD,CABD,False,False,5,4+
training_2498,0,DCBA,DCBA,DCBA,True,True,1,1
training_2499,0,ACDB,ACDB,ACDB,True,True,1,1
training_2500,0,DBCA,DBCA,DBCA,True,True,1,1
training_2501,4,CDBA,CDBA,CDBA,True,True,2,2-3
training_2502,4,ADCB,ADCB,ADCB,True,True,2,2-3
training_2503,4,DABC,DABC,DABC,True,True,2,2-3
training_2504,4,BACD,BCAD,BCAD,False,False,3,2-3
training_2505,4,DCAB,DCBA,DCBA,False,False,3,2-3
training_2506,4,ADBC,ACDB,ACDB,False,False,3,2-3
training_2507,4,BADC,BADC,BADC,True,True,4,4+
training_2508,4,DCAB,DCAB,DCAB,True,True,4,4+
training_2509,4,ABCD,ABCD,ABCD,True,True,4,4+
training_2510,4,DBAC,DBAC,DBAC,True,True,2,2-3
training_2511,4,CABD,CABD,CABD,True,True,2,2-3
training_2512,4,BDCA,BDCA,BDCA,True,True,2,2-3
training_2513,4,ABDC,ABDC,ABDC,True,True,2,2-3
training_2514,4,DCBA,DCBA,DCBA,True,True,2,2-3
training_2515,4,DBAC,DBAC,DBAC,True,True,2,2-3
training_2516,4,ABDC,ABDC,ABDC,True,True,0,0
training_2517,4,CADB,CADB,CADB,True,True,0,0
training_2518,4,DBAC,DBAC,DBAC,True,True,0,0
training_2519,4,ABDC,ABDC,ABDC,True,True,1,1
training_2521,4,ADBC,ADBC,ADBC,True,True,1,1
training_2522,3,BCAD,BCAD,BCAD,True,True,3,2-3
training_2523,3,DABC,DABC,DABC,True,True,3,2-3
training_2524,3,BDCA,BDCA,BDCA,True,True,3,2-3
training_2525,3,DCAB,DCAB,DCAB,True,True,0,0
training_2526,3,DCBA,DBCA,DBCA,False,False,0,0
training_2527,3,BCDA,BCDA,BCDA,True,True,0,0
training_2528,3,CADB,CABD,CABD,False,False,2,2-3
training_2529,3,CBAD,CBDA,CBDA,False,False,2,2-3
training_2530,3,ABDC,ABCD,ABCD,False,False,2,2-3
training_2531,3,BDCA,BDCA,BCDA,True,False,4,4+
training_2532,3,ABCD,ABCD,BACD,True,False,4,4+
training_2533,3,ADBC,ADBC,DBAC,True,False,4,4+
training_2534,3,BDCA,BDCA,BDCA,True,True,1,1
training_2535,3,CABD,CABD,CABD,True,True,1,1
training_2536,3,ACBD,ACBD,ACBD,True,True,1,1
training_2537,3,ACBD,ACBD,ACBD,True,True,1,1
training_2538,3,ACDB,CADB,CADB,False,False,1,1
training_2539,3,ADBC,DABC,DABC,False,False,1,1
training_2540,3,BCDA,BDCA,BCDA,False,True,5,4+
training_2541,3,CADB,CADB,CADB,True,True,5,4+
training_2542,3,ADBC,ABDC,ADBC,False,True,5,4+
training_2543,0,CDAB,CDAB,CDAB,True,True,4,4+
training_2544,0,ADBC,ADBC,ADBC,True,True,4,4+
training_2545,0,CABD,CABD,CABD,True,True,4,4+
training_2546,0,ABDC,ABDC,ABDC,True,True,1,1
training_2547,0,BACD,BACD,BACD,True,True,1,1
training_2548,0,CBAD,CBAD,CBAD,True,True,1,1
training_2549,0,CBDA,CBDA,CBDA,True,True,4,4+
training_2550,0,BDAC,BDAC,BDAC,True,True,4,4+
training_2551,0,CBAD,CBAD,CBAD,True,True,4,4+
training_2552,0,ABCD,ABCD,ABCD,True,True,1,1
training_2553,0,DBCA,DBCA,DBCA,True,True,1,1
training_2554,0,CBDA,CBDA,CBDA,True,True,1,1
training_2555,0,ACDB,ACDB,ACDB,True,True,1,1
training_2556,0,ABDC,ABDC,ABDC,True,True,1,1
training_2557,0,BADC,BADC,BADC,True,True,1,1
training_2558,0,CABD,CABD,CABD,True,True,0,0
training_2559,0,BACD,BADC,BADC,False,False,0,0
training_2560,0,ACBD,ACDB,ACDB,False,False,0,0
training_2561,0,CBAD,CBAD,CBAD,True,True,1,1
training_2562,0,CDBA,CDBA,CDBA,True,True,1,1
training_2563,0,CDBA,CDBA,CDBA,True,True,1,1
training_2564,2,ABDC,ADBC,ADBC,False,False,2,2-3
training_2565,2,DABC,BDAC,BDAC,False,False,2,2-3
training_2566,2,DCAB,DACB,DACB,False,False,2,2-3
training_2567,2,BADC,BADC,BADC,True,True,4,4+
training_2568,2,BCAD,CADB,CADB,False,False,4,4+
training_2569,2,DBAC,DBAC,DBAC,True,True,4,4+
training_2570,2,CBAD,CBAD,CBAD,True,True,3,2-3
training_2571,2,CBAD,CBAD,CBAD,True,True,3,2-3
training_2572,2,CADB,CADB,CADB,True,True,3,2-3
training_2573,2,ADBC,ABDC,ABDC,False,False,3,2-3
training_2574,2,BCDA,BDCA,BDCA,False,False,3,2-3
training_2575,2,DBCA,DCBA,DCBA,False,False,3,2-3
training_2576,2,CBDA,CBDA,CBDA,True,True,5,4+
training_2577,2,ACDB,ACDB,ACDB,True,True,5,4+
training_2578,2,CBAD,BCAD,BCAD,False,False,5,4+
training_2579,2,CBDA,CBDA,CBDA,True,True,4,4+
training_2580,2,ADBC,ADBC,ADBC,True,True,4,4+
training_2581,2,BCDA,BCDA,BCDA,True,True,4,4+
training_2582,4,BDCA,BDCA,BDCA,True,True,2,2-3
training_2583,4,DCAB,DCAB,DCAB,True,True,2,2-3
training_2584,4,BADC,BADC,BADC,True,True,2,2-3
training_2585,4,ACBD,ACBD,ACBD,True,True,4,4+
training_2586,4,DBCA,DBCA,DBCA,True,True,4,4+
training_2587,4,BADC,BADC,BADC,True,True,4,4+
training_2588,4,ABDC,ABDC,ABDC,True,True,4,4+
training_2589,4,ADCB,ADCB,ADCB,True,True,4,4+
training_2590,4,DBCA,DBCA,DBCA,True,True,4,4+
training_2591,4,DCAB,DCAB,DCAB,True,True,2,2-3
training_2592,4,ADCB,ADCB,ADCB,True,True,2,2-3
training_2593,4,DCAB,DCAB,DCAB,True,True,2,2-3
training_2594,4,BADC,BDAC,BDAC,False,False,4,4+
training_2595,4,ABCD,ABCD,ABCD,True,True,4,4+
training_2596,4,BDCA,BDCA,BDCA,True,True,4,4+
training_2597,4,CABD,CABD,CABD,True,True,2,2-3
training_2598,4,CBDA,CBDA,CBDA,True,True,2,2-3
training_2599,4,CBAD,CBAD,CBAD,True,True,2,2-3
training_2600,4,CADB,CADB,CADB,True,True,0,0
training_2601,4,ACBD,ACBD,ACBD,True,True,0,0
training_2602,4,CABD,CABD,CABD,True,True,0,0
training_2603,2,CBAD,CBAD,CBAD,True,True,3,2-3
training_2604,2,DCAB,DBCA,DCAB,False,True,3,2-3
training_2605,2,BADC,BACD,BADC,False,True,3,2-3
training_2606,2,BDAC,BDAC,BDAC,True,True,2,2-3
training_2607,2,DCAB,DCAB,DCAB,True,True,2,2-3
training_2608,2,BCDA,BCDA,BCDA,True,True,2,2-3
training_2609,2,BACD,BACD,BACD,True,True,0,0
training_2610,2,ABDC,ABDC,ABDC,True,True,0,0
training_2611,2,ACBD,ACDB,ACDB,False,False,0,0
training_2612,2,BADC,BADC,BADC,True,True,1,1
training_2613,2,CDBA,CDBA,CDBA,True,True,1,1
training_2614,2,DBCA,DBCA,DBCA,True,True,1,1
training_2615,2,DACB,DACB,DACB,True,True,1,1
training_2616,2,ACBD,ACBD,ACBD,True,True,1,1
training_2617,2,CBAD,CBAD,CBAD,True,True,1,1
training_2618,2,BDAC,BDAC,BDAC,True,True,4,4+
training_2619,2,DACB,DACB,DACB,True,True,4,4+
training_2620,2,CABD,CABD,CABD,True,True,4,4+
training_2621,2,ADBC,ADBC,ADBC,True,True,2,2-3
training_2622,2,CDBA,CDBA,CDBA,True,True,2,2-3
training_2623,2,BADC,ABDC,ABDC,False,False,2,2-3
training_2624,3,BDAC,BDAC,BDAC,True,True,2,2-3
training_2625,3,CABD,CABD,CABD,True,True,2,2-3
training_2626,3,ABCD,ABCD,ABCD,True,True,2,2-3
training_2627,3,CDAB,CDAB,CDAB,True,True,0,0
training_2628,3,CDAB,CDAB,CDAB,True,True,0,0
training_2629,3,BCAD,BCAD,BCAD,True,True,0,0
training_2630,3,BDCA,BDCA,BDCA,True,True,2,2-3
training_2631,3,BDCA,BDCA,BDCA,True,True,2,2-3
training_2632,3,ACBD,ACBD,ACBD,True,True,2,2-3
training_2633,3,DBCA,DBCA,DBCA,True,True,1,1
training_2634,3,ABCD,ABCD,ABCD,True,True,1,1
training_2635,3,ACDB,ACDB,ACDB,True,True,1,1
training_2636,3,CBDA,CBDA,CBDA,True,True,1,1
training_2637,3,BADC,BDAC,BDAC,False,False,1,1
training_2638,3,BCDA,BDCA,BDCA,False,False,1,1
training_2639,3,BCAD,CBAD,CBAD,False,False,1,1
training_2640,3,DCAB,DCAB,DCAB,True,True,1,1
training_2641,3,ACDB,CADB,CADB,False,False,1,1
training_2642,3,BDCA,BDCA,BDCA,True,True,4,4+
training_2643,3,CBDA,CBDA,CBDA,True,True,4,4+
training_2644,3,DBCA,DBCA,DBCA,True,True,4,4+
training_2645,1,BDAC,BDAC,BDAC,True,True,3,2-3
training_2646,1,BCAD,BCAD,BCAD,True,True,3,2-3
training_2647,1,CDBA,CDBA,CDBA,True,True,3,2-3
training_2648,1,CADB,CADB,CADB,True,True,1,1
training_2649,1,ABCD,ABCD,ABCD,True,True,1,1
training_2650,1,DABC,DABC,DABC,True,True,1,1
training_2651,1,CADB,CABD,CABD,False,False,1,1
training_2652,1,CADB,CBDA,CBDA,False,False,1,1
training_2653,1,CABD,CADB,CADB,False,False,1,1
training_2654,1,BCAD,BCAD,BCAD,True,True,6,4+
training_2655,1,BCAD,BCAD,BCAD,True,True,6,4+
training_2656,1,BDAC,BDAC,BDAC,True,True,6,4+
training_2657,1,CADB,CADB,CADB,True,True,1,1
training_2658,1,BACD,BACD,BACD,True,True,1,1
training_2659,1,ADBC,ADBC,ADBC,True,True,1,1
training_2660,4,ADCB,ACDB,ACDB,False,False,0,0
training_2661,4,CBDA,CDBA,CDBA,False,False,0,0
training_2662,4,DBCA,DCBA,DCBA,False,False,0,0
training_2663,4,ABDC,ABDC,ABDC,True,True,0,0
training_2664,4,ACDB,ACDB,ACDB,True,True,0,0
training_2665,4,BCAD,BCAD,BCAD,True,True,0,0
training_2666,4,BACD,BACD,BACD,True,True,3,2-3
training_2667,4,ADCB,ADCB,ADCB,True,True,3,2-3
training_2668,4,BCAD,BCAD,BCAD,True,True,3,2-3
training_2669,4,DCAB,DCAB,DCAB,True,True,2,2-3
training_2670,4,ADCB,ADCB,ADCB,True,True,2,2-3
training_2671,4,DACB,DACB,DACB,True,True,2,2-3
training_2672,1,ABCD,ABCD,ABCD,True,True,1,1
training_2673,1,BACD,BACD,BACD,True,True,1,1
training_2674,1,ABCD,ABCD,ABCD,True,True,1,1
training_2675,1,CDBA,CADB,CADB,False,False,1,1
training_2676,1,BDAC,BDCA,BDCA,False,False,1,1
training_2677,1,BADC,BCAD,BCAD,False,False,1,1
training_2678,1,ABDC,ABDC,ABDC,True,True,3,2-3
training_2679,1,BDCA,BDCA,BDCA,True,True,3,2-3
training_2680,1,BDCA,BDCA,BDCA,True,True,3,2-3
training_2681,1,ACDB,ACDB,ACDB,True,True,0,0
training_2682,1,CADB,CADB,CADB,True,True,0,0
training_2683,1,CDAB,CDAB,CDAB,True,True,0,0
training_2684,1,ABDC,ADCB,ADCB,False,False,2,2-3
training_2685,1,BACD,BACD,BACD,True,True,2,2-3
training_2686,1,DBCA,BCAD,BCAD,False,False,2,2-3
training_2687,1,DABC,DABC,DABC,True,True,5,4+
training_2688,1,BCAD,BCAD,BCAD,True,True,5,4+
training_2689,1,DABC,DABC,DABC,True,True,5,4+
training_2690,1,BCDA,BCDA,BCDA,True,True,0,0
training_2691,1,ACBD,ACBD,ACBD,True,True,0,0
training_2692,1,BCAD,BCAD,BCAD,True,True,0,0
training_2693,1,ADCB,BADC,BADC,False,False,2,2-3
training_2694,1,CDAB,ACDB,ACDB,False,False,1,1
training_2695,1,CBDA,DCBA,DCBA,False,False,1,1
training_2696,1,DCAB,ADCB,ADCB,False,False,1,1
training_2697,1,BCDA,BCDA,BCDA,True,True,1,1
training_2698,1,BDAC,BDAC,BDAC,True,True,1,1
training_2699,1,ACDB,ACDB,ACDB,True,True,1,1
training_2700,2,DBCA,DBCA,DBCA,True,True,1,1
training_2701,2,CADB,CABD,CABD,False,False,1,1
training_2702,2,CABD,CABD,CABD,True,True,1,1
training_2703,2,ADCB,DACB,DACB,False,False,4,4+
training_2704,2,ABCD,ABCD,ABCD,True,True,4,4+
training_2705,2,DBCA,DCBA,DCBA,False,False,4,4+
training_2706,2,DCBA,DCBA,DCBA,True,True,4,4+
training_2707,2,CDAB,CDAB,CDAB,True,True,4,4+
training_2708,2,DBCA,DBCA,DBCA,True,True,4,4+
training_2709,2,DCBA,DCBA,DCBA,True,True,1,1
training_2710,2,ACDB,ACDB,ACDB,True,True,1,1
training_2711,2,ABDC,ABDC,ABDC,True,True,1,1
training_2712,2,BDCA,BDCA,BDCA,True,True,2,2-3
training_2713,2,BDAC,BDAC,BDAC,True,True,2,2-3
training_2714,2,DACB,DACB,DACB,True,True,2,2-3
training_2715,2,CDAB,CDAB,CDAB,True,True,2,2-3
training_2716,2,DABC,DABC,DABC,True,True,2,2-3
training_2717,2,ACDB,ACDB,ACDB,True,True,2,2-3
training_2718,2,BCAD,BCAD,BCAD,True,True,4,4+
training_2719,2,DBAC,DBAC,DBAC,True,True,4,4+
training_2720,2,ABCD,ABCD,ABCD,True,True,4,4+
training_2721,2,ACBD,ACBD,ACBD,True,True,3,2-3
training_2722,2,BADC,BADC,BADC,True,True,3,2-3
training_2723,2,DCBA,DCBA,DCBA,True,True,3,2-3
