action_pool,emotion_rows,sessions,errors,accuracy,n_actions,any_locomotion
Drinking | Eating | Grabbing utensils | Walking,3,1,0,1.0,4,True
Drinking | Eating | Peeling fruit,3,1,0,1.0,3,False
Drinking | Eating | Peeling fruit | Pouring | Stirring,3,1,0,1.0,5,False
Drinking | Eating | Peeling fruit | Pouring | Stirring | Walking,3,1,0,1.0,6,True
Drinking | Eating | Peeling fruit | Walking,3,1,0,1.0,4,True
Drinking | Grabbing utensils | Pouring | Stirring,3,1,0,1.0,4,False
Drinking | Grabbing utensils | Pouring | Walking | Washing dishes | Wiping surface,3,1,0,1.0,6,True
Drinking | Mopping | Pouring | Walking,3,1,0,1.0,4,True
Drinking | Walking | Washing dishes,3,1,0,1.0,3,True
Eating | Massaging oneself | Sitting down | Standing up | Walking,3,1,0,1.0,5,True
Eating | Peeling fruit,3,1,0,1.0,2,False
Eating | Pouring | Stirring | Walking,3,1,0,1.0,4,True
Eating | Pouring | Stirring | Washing dishes,3,1,0,1.0,4,False
Eating | Stirring | Walking,3,1,0,1.0,3,True
Folding clothes,3,1,0,1.0,1,False
Folding clothes | Getting dressed | Undressing,3,1,0,1.0,3,False
Folding clothes | Playing games | Sitting down | Using a phone,3,1,0,1.0,4,True
Folding clothes | Stretching | Walking,3,1,0,1.0,3,True
Getting dressed | Running | Standing up | Undressing,3,1,0,1.0,4,True
Getting dressed | Undressing,3,1,0,1.0,2,False
Grabbing utensils | Mopping | Sweeping,3,1,0,1.0,3,True
Jumping jacks | Lunges | Lying down,3,1,0,1.0,3,True
Jumping jacks | Lunges | Lying down | Walking,3,1,0,1.0,4,True
Jumping jacks | Running | Squats,3,1,0,1.0,3,True
Jumping jacks | Running | Standing up | Stretching | Taking a selfie | Using a phone,3,1,0,1.0,6,True
Listening to the music with headphones | Massaging oneself | Sitting down | Standing up | Stretching | Using a phone | Walking | Wiping hands,3,1,0,1.0,8,True
Listening to the music with headphones | Mopping | Pouring | Standing up | Stirring | Walking,3,1,0,1.0,6,True
Listening to the music with headphones | Playing games,3,1,0,1.0,2,False
Listening to the music with headphones | Reading | Sitting down | Turning a page | Walking | Writing,3,1,0,1.0,6,True
Listening to the music with headphones | Reading | Sitting down | Turning a page | Writing,3,1,0,1.0,5,True
Listening to the music with headphones | Sitting down | Standing up | Using a phone | Walking,3,1,0,1.0,5,True
Listening to the music with headphones | Sitting down | Using a phone,3,1,0,1.0,3,True
Listening to the music with headphones | Sitting down | Using a phone | Walking,3,1,0,1.0,4,True
Listening to the music with headphones | Using a phone,3,1,0,1.0,2,False
Lunges | Lying down | Standing up | Walking,3,1,0,1.0,4,True
Lunges | Squats,3,1,0,1.0,2,True
Lunges | Squats | Stretching | Walking,3,1,0,1.0,4,True
Lying down | Running | Squats | Standing up | Stretching | Walking,3,1,0,1.0,6,True
Lying down | Stretching | Walking,3,1,0,1.0,3,True
Lying down | Watching TV,3,1,0,1.0,2,True
Massaging oneself | Playing games,3,1,0,1.0,2,False
Massaging oneself | Sitting down | Stretching | Taking medicine | Wiping hands,3,1,0,1.0,5,True
Massaging oneself | Standing up | Taking medicine | Writing,3,1,0,1.0,4,True
Mopping | Sweeping | Wiping surface,3,1,0,1.0,3,True
Mopping | Walking | Wiping surface,3,1,0,1.0,3,True
Peeling fruit | Sitting down | Using a phone | Walking,3,1,0,1.0,4,True
Peeling fruit | Taking medicine | Walking,3,1,0,1.0,3,True
Peeling fruit | Washing dishes,3,1,0,1.0,2,False
Pouring | Stirring | Walking,3,1,0,1.0,3,True
Reading | Sitting down | Turning a page | Typing on a keyboard | Walking | Writing,3,1,0,1.0,6,True
Reading | Turning a page | Walking,3,1,0,1.0,3,True
Reading | Writing,3,1,0,1.0,2,False
Running | Sitting down | Sweeping | Taking a selfie | Walking,3,1,0,1.0,5,True
Sitting down | Standing up | Stretching | Using a phone | Walking,3,1,0,1.0,5,True
Sitting down | Standing up | Typing on a keyboard | Walking,3,1,0,1.0,4,True
Sitting down | Standing up | Walking | Writing,3,1,0,1.0,4,True
Sitting down | Walking | Wiping surface,3,1,0,1.0,3,True
Squats,3,1,0,1.0,1,True
Squats | Standing up,3,1,0,1.0,2,True
Standing up | Stretching,3,1,0,1.0,2,True
Walking | Washing face | Wiping hands,3,1,0,1.0,3,True
Washing face | Wiping hands,3,1,0,1.0,2,False
Wiping surface,3,1,0,1.0,1,False
Eating | Peeling fruit | Walking | Writing,2,1,0,1.0,4,True
