feature,group,n,median_within_session_rank,mean_within_session_rank,mean_within_session_z
raw_duration_s,FAST,218,0.0,0.04357798165137615,-1.1437399799541814
raw_speed_mean,SLOW,279,0.0,0.25806451612903225,-0.6126876261711607
raw_speed_mean,CARE,117,0.5,0.34615384615384615,-0.38322098834185553
raw_speed_mean,NEUT,126,0.5,0.3492063492063492,-0.4433905166723066
raw_speed_mean,NERV,55,1.0,0.8818181818181818,0.9961732065607252
raw_speed_mean,FAST,218,1.0,0.8830275229357798,0.9947448719156957
raw_speed_p90,SLOW,279,0.0,0.27419354838709675,-0.5755215641927932
raw_speed_p90,CARE,117,0.5,0.3888888888888889,-0.3241608865853282
raw_speed_p90,NEUT,126,0.5,0.3492063492063492,-0.4010515067789755
raw_speed_p90,NERV,55,1.0,0.9,1.0606019039663905
raw_speed_p90,FAST,218,1.0,0.8348623853211009,0.8747556205333583
raw_speed_cv,SLOW,279,0.5,0.6272401433691757,0.32266103245151695
raw_speed_cv,CARE,117,0.5,0.5811965811965812,0.20719940426247152
raw_speed_cv,NEUT,126,0.5,0.6190476190476191,0.23866252354202097
raw_speed_cv,NERV,55,0.0,0.2909090909090909,-0.4895957020059911
raw_speed_cv,FAST,218,0.0,0.2775229357798165,-0.5385709757277408
raw_acc_mean,SLOW,279,0.0,0.2724014336917563,-0.5938383183669477
raw_acc_mean,CARE,117,0.5,0.3717948717948718,-0.35707113732113716
raw_acc_mean,NEUT,126,0.5,0.3373015873015873,-0.4131904214645905
raw_acc_mean,NERV,55,1.0,0.8545454545454545,0.9431966395963827
raw_acc_mean,FAST,218,1.0,0.8646788990825688,0.9524972101728847
raw_jerk_mean,SLOW,279,0.0,0.28136200716845877,-0.5668854529724088
raw_jerk_mean,CARE,117,0.5,0.38461538461538464,-0.347630744955847
raw_jerk_mean,NEUT,126,0.5,0.3492063492063492,-0.38769494064609294
raw_jerk_mean,NERV,55,1.0,0.8454545454545455,0.9055429840117007
raw_jerk_mean,FAST,218,1.0,0.841743119266055,0.9076997107334879
raw_wrist_speed_mean,SLOW,279,0.0,0.2670250896057348,-0.6088475481913858
raw_wrist_speed_mean,CARE,117,0.5,0.3418803418803419,-0.3700133156974408
raw_wrist_speed_mean,NEUT,126,0.5,0.3333333333333333,-0.4538354394501032
raw_wrist_speed_mean,NERV,55,1.0,0.9,1.048522806606667
raw_wrist_speed_mean,FAST,218,1.0,0.8784403669724771,0.9755712609602915
raw_ankle_speed_mean,SLOW,279,0.0,0.24372759856630824,-0.6308324855359736
raw_ankle_speed_mean,CARE,117,0.5,0.36324786324786323,-0.3755761088244637
raw_ankle_speed_mean,NEUT,126,0.5,0.373015873015873,-0.4075475977182687
raw_ankle_speed_mean,NERV,55,1.0,0.8636363636363636,0.996994550145308
raw_ankle_speed_mean,FAST,218,1.0,0.8830275229357798,0.9929402075757282
raw_wrist_ankle_ratio,SLOW,279,0.5,0.5412186379928315,0.13003141414132385
raw_wrist_ankle_ratio,CARE,117,0.5,0.5,0.008287982581055786
raw_wrist_ankle_ratio,NEUT,126,0.5,0.5079365079365079,-0.01993526636116918
raw_wrist_ankle_ratio,NERV,55,0.5,0.45454545454545453,-0.10548512170900201
raw_wrist_ankle_ratio,FAST,218,0.5,0.4541284403669725,-0.13272905161426818
raw_hip_speed_mean,SLOW,279,0.0,0.27956989247311825,-0.5610945454439751
raw_hip_speed_mean,CARE,117,0.5,0.3504273504273504,-0.35100754556857466
raw_hip_speed_mean,NEUT,126,0.5,0.3611111111111111,-0.4191181404450899
raw_hip_speed_mean,NERV,55,1.0,0.8090909090909091,0.8226566869524712
raw_hip_speed_mean,FAST,218,1.0,0.8646788990825688,0.9411744446059068
raw_hip_path,SLOW,279,0.5,0.6182795698924731,0.3283048933092787
raw_hip_path,CARE,117,0.5,0.5726495726495726,0.2001321258035934
raw_hip_path,NEUT,126,0.5,0.5476190476190477,0.06023037879931477
raw_hip_path,NERV,55,0.0,0.34545454545454546,-0.43789181779094977
raw_hip_path,FAST,218,0.0,0.3211009174311927,-0.451915145424406
raw_hip_efficiency,SLOW,279,0.5,0.3978494623655914,-0.24033017029975404
raw_hip_efficiency,CARE,117,0.5,0.48717948717948717,-0.05792771114001785
raw_hip_efficiency,NEUT,126,0.5,0.46825396825396826,-0.07421659373168221
raw_hip_efficiency,NERV,55,0.5,0.5363636363636364,0.046582403237674395
raw_hip_efficiency,FAST,218,0.5,0.6467889908256881,0.3698115520602445
raw_pose_amplitude,SLOW,279,0.5,0.4390681003584229,-0.13212955839599813
raw_pose_amplitude,CARE,117,0.5,0.44017094017094016,-0.14020266900889597
raw_pose_amplitude,NEUT,126,0.5,0.49206349206349204,-0.04649778701828737
raw_pose_amplitude,NERV,55,0.5,0.6181818181818182,0.3237414396247749
raw_pose_amplitude,FAST,218,0.5,0.5848623853211009,0.18954495895167806
raw_low_motion_frac,SLOW,279,0.5,0.5268817204301075,0.04854863570634558
raw_low_motion_frac,CARE,117,0.5,0.5448717948717948,0.15262951189845836
raw_low_motion_frac,NEUT,126,0.5,0.49404761904761907,-0.01681734781195902
raw_low_motion_frac,NERV,55,0.5,0.509090909090909,-0.00587941950979947
raw_low_motion_frac,FAST,218,0.5,0.4426605504587156,-0.13284572640754244
raw_longest_low_motion_s,SLOW,279,0.5,0.5618279569892473,0.16321762235440185
raw_longest_low_motion_s,CARE,117,0.5,0.5341880341880342,0.12658564919139728
raw_longest_low_motion_s,NEUT,126,0.5,0.49603174603174605,-0.03496704380948114
raw_longest_low_motion_s,NERV,55,0.5,0.4954545454545455,-0.04192954954228589
raw_longest_low_motion_s,FAST,218,0.5,0.4059633027522936,-0.24603785111129997
raw_cad_hz,SLOW,279,0.5,0.4767025089605735,-0.07277479999501742
raw_cad_hz,CARE,117,0.5,0.4658119658119658,-0.05639258978838743
raw_cad_hz,NEUT,126,0.5,0.4087301587301587,-0.20776852573407728
raw_cad_hz,NERV,55,0.5,0.5727272727272728,0.17069841063303334
raw_cad_hz,FAST,216,0.5,0.5833333333333334,0.20228020306263036
raw_cad_peak_frac,SLOW,279,0.5,0.3673835125448029,-0.3381332712244168
raw_cad_peak_frac,CARE,117,0.5,0.3974358974358974,-0.2783019416834283
raw_cad_peak_frac,NEUT,126,0.5,0.4722222222222222,-0.06713768161287666
raw_cad_peak_frac,NERV,55,1.0,0.6727272727272727,0.4612899270605232
raw_cad_peak_frac,FAST,216,1.0,0.6990740740740741,0.5092079247382735
