session,user,aa,bb,cc,action,harn_folder,manner_label,manner_group,parent_qa_path,parent_unit_dir,parent_f0,parent_f1,parent_t0,parent_t1,seg_f0,seg_f1,seg_t0,seg_t1,n_sibling_trials_with_action,evidence_source
user1|2|1,user1,2,1,3,Stirring,10_Stir_drinks,Hastily,FAST,HAU/user1/2-1-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-1-3",19.0,227.0,14150605.816,14150626.616,114.0,138.0,14150615.316,14150617.716,2,harn_anchored
user1|2|1,user1,2,1,2,Walking,36_Walk,Neatly,CARE,HAU/user1/2-1-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-1-2",28.0,343.0,14150439.716,14150471.216,46.0,64.0,14150441.516,14150443.316,2,harn_anchored
user1|2|1,user1,2,1,3,Walking,36_Walk,Hastily,FAST,HAU/user1/2-1-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-1-3",19.0,227.0,14150605.816,14150626.616,29.0,38.0,14150606.816,14150607.716,2,harn_anchored
user1|2|1,user1,2,1,2,Grabbing utensils,8_Take_and_use_tableware,Neatly,CARE,HAU/user1/2-1-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-1-2",28.0,343.0,14150439.716,14150471.216,66.0,97.0,14150443.516,14150446.616,2,harn_anchored
user1|2|1,user1,2,1,3,Grabbing utensils,8_Take_and_use_tableware,Hastily,FAST,HAU/user1/2-1-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-1-3",19.0,227.0,14150605.816,14150626.616,40.0,82.0,14150607.916,14150612.116,2,harn_anchored
user1|2|1,user1,2,1,2,Pouring,9_Pour_drinks,Neatly,CARE,HAU/user1/2-1-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-1-2",28.0,343.0,14150439.716,14150471.216,97.0,133.0,14150446.616,14150450.216,2,harn_anchored
user1|2|1,user1,2,1,3,Pouring,9_Pour_drinks,Hastily,FAST,HAU/user1/2-1-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-1-3",19.0,227.0,14150605.816,14150626.616,79.0,111.0,14150611.816,14150615.016,2,harn_anchored
user1|2|2,user1,2,2,1,Typing on a keyboard,17_Tap_the_keyboard,Slowly,SLOW,HAU/user1/2-2-1,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-2-1",20.0,241.0,14040883.916,14040906.016,142.0,241.0,14040896.116,14040906.016,3,harn_anchored
user1|2|2,user1,2,2,2,Typing on a keyboard,17_Tap_the_keyboard,Steadily,NEUT,HAU/user1/2-2-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-2-2",22.0,259.0,14041277.116,14041300.816,146.0,259.0,14041289.516,14041300.816,3,harn_anchored
user1|2|2,user1,2,2,3,Typing on a keyboard,17_Tap_the_keyboard,Quickly,FAST,HAU/user1/2-2-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-2-3",24.0,164.0,14041539.316,14041553.316,90.0,164.0,14041545.916,14041553.316,3,harn_anchored
user1|2|2,user1,2,2,1,Standing up,32_Stand_up,Slowly,SLOW,HAU/user1/2-2-1,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-2-1",20.0,241.0,14040883.916,14040906.016,54.0,65.0,14040887.316,14040888.416,3,harn_anchored
user1|2|2,user1,2,2,2,Standing up,32_Stand_up,Steadily,NEUT,HAU/user1/2-2-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-2-2",22.0,259.0,14041277.116,14041300.816,42.0,62.0,14041279.116,14041281.116,3,harn_anchored
user1|2|2,user1,2,2,3,Standing up,32_Stand_up,Quickly,FAST,HAU/user1/2-2-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-2-3",24.0,164.0,14041539.316,14041553.316,50.0,60.0,14041541.916,14041542.916,3,harn_anchored
user1|2|2,user1,2,2,1,Sitting down,34_Sit_down,Slowly,SLOW,HAU/user1/2-2-1,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-2-1",20.0,241.0,14040883.916,14040906.016,115.0,128.0,14040893.416,14040894.716,3,harn_anchored
user1|2|2,user1,2,2,2,Sitting down,34_Sit_down,Steadily,NEUT,HAU/user1/2-2-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-2-2",22.0,259.0,14041277.116,14041300.816,118.0,134.0,14041286.716,14041288.316,3,harn_anchored
user1|2|2,user1,2,2,3,Sitting down,34_Sit_down,Quickly,FAST,HAU/user1/2-2-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-2-3",24.0,164.0,14041539.316,14041553.316,78.0,86.0,14041544.716,14041545.516,3,harn_anchored
user1|2|2,user1,2,2,1,Walking,36_Walk,Slowly,SLOW,HAU/user1/2-2-1,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-2-1",20.0,241.0,14040883.916,14040906.016,70.0,116.0,14040888.916,14040893.516,3,harn_anchored
user1|2|2,user1,2,2,2,Walking,36_Walk,Steadily,NEUT,HAU/user1/2-2-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-2-2",22.0,259.0,14041277.116,14041300.816,64.0,115.0,14041281.316,14041286.416,3,harn_anchored
user1|2|2,user1,2,2,3,Walking,36_Walk,Quickly,FAST,HAU/user1/2-2-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/2-2-3",24.0,164.0,14041539.316,14041553.316,59.0,78.0,14041542.816,14041544.716,3,harn_anchored
user1|3|1,user1,3,1,1,Stirring,10_Stir_drinks,Leisurely,SLOW,HAU/user1/3-1-1,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-1-1",19.0,154.0,14150829.816,14150843.316,47.0,82.0,14150832.616,14150836.116,3,harn_anchored
user1|3|1,user1,3,1,2,Stirring,10_Stir_drinks,Steadily,NEUT,HAU/user1/3-1-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-1-2",24.0,170.0,14150905.316,14150919.916,68.0,104.0,14150909.716,14150913.316,3,harn_anchored
user1|3|1,user1,3,1,3,Stirring,10_Stir_drinks,Hurriedly,FAST,HAU/user1/3-1-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-1-3",15.0,80.0,14150983.416,14150989.916,33.0,49.0,14150985.216,14150986.816,3,harn_anchored
user1|3|1,user1,3,1,1,Eating,7_Eat_food,Leisurely,SLOW,HAU/user1/3-1-1,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-1-1",19.0,154.0,14150829.816,14150843.316,118.0,154.0,14150839.716,14150843.316,3,harn_anchored
user1|3|1,user1,3,1,2,Eating,7_Eat_food,Steadily,NEUT,HAU/user1/3-1-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-1-2",24.0,170.0,14150905.316,14150919.916,142.0,170.0,14150917.116,14150919.916,3,harn_anchored
user1|3|1,user1,3,1,3,Eating,7_Eat_food,Hurriedly,FAST,HAU/user1/3-1-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-1-3",15.0,80.0,14150983.416,14150989.916,66.0,80.0,14150988.516,14150989.916,3,harn_anchored
user1|3|2,user1,3,2,1,Mopping,13_Mop_the_floor,Casually,NEUT,HAU/user1/3-2-1,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-1",15.0,614.0,14043275.416,14043335.316,91.0,195.0,14043283.016,14043293.416,3,harn_anchored
user1|3|2,user1,3,2,2,Mopping,13_Mop_the_floor,Meticulously,CARE,HAU/user1/3-2-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-2",17.0,639.0,14043663.616,14043725.816,90.0,213.0,14043670.916,14043683.216,3,harn_anchored
user1|3|2,user1,3,2,3,Mopping,13_Mop_the_floor,Hurriedly,FAST,HAU/user1/3-2-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-3",14.0,425.0,14043946.316,14043987.416,58.0,137.0,14043950.716,14043958.616,3,harn_anchored
user1|3|2,user1,3,2,1,Typing on a keyboard,17_Tap_the_keyboard,Casually,NEUT,HAU/user1/3-2-1,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-1",15.0,614.0,14043275.416,14043335.316,265.0,331.0,14043300.416,14043307.016,3,harn_anchored
user1|3|2,user1,3,2,2,Typing on a keyboard,17_Tap_the_keyboard,Meticulously,CARE,HAU/user1/3-2-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-2",17.0,639.0,14043663.616,14043725.816,278.0,343.0,14043689.716,14043696.216,3,harn_anchored
user1|3|2,user1,3,2,3,Typing on a keyboard,17_Tap_the_keyboard,Hurriedly,FAST,HAU/user1/3-2-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-3",14.0,425.0,14043946.316,14043987.416,184.0,212.0,14043963.316,14043966.116,3,harn_anchored
user1|3|2,user1,3,2,1,Checking the time,20_Check_the_time,Casually,NEUT,HAU/user1/3-2-1,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-1",15.0,614.0,14043275.416,14043335.316,308.0,320.0,14043304.716,14043305.916,3,harn_anchored
user1|3|2,user1,3,2,2,Checking the time,20_Check_the_time,Meticulously,CARE,HAU/user1/3-2-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-2",17.0,639.0,14043663.616,14043725.816,319.0,327.0,14043693.816,14043694.616,3,harn_anchored
user1|3|2,user1,3,2,3,Checking the time,20_Check_the_time,Hurriedly,FAST,HAU/user1/3-2-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-3",14.0,425.0,14043946.316,14043987.416,202.0,205.0,14043965.116,14043965.416,3,harn_anchored
user1|3|2,user1,3,2,1,Squats,29_Do_squats,Casually,NEUT,HAU/user1/3-2-1,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-1",15.0,614.0,14043275.416,14043335.316,493.0,526.0,14043323.216,14043326.516,3,harn_anchored
user1|3|2,user1,3,2,2,Squats,29_Do_squats,Meticulously,CARE,HAU/user1/3-2-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-2",17.0,639.0,14043663.616,14043725.816,512.0,575.0,14043713.116,14043719.416,3,harn_anchored
user1|3|2,user1,3,2,3,Squats,29_Do_squats,Hurriedly,FAST,HAU/user1/3-2-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-3",14.0,425.0,14043946.316,14043987.416,335.0,385.0,14043978.416,14043983.416,3,harn_anchored
user1|3|2,user1,3,2,1,Standing up,32_Stand_up,Casually,NEUT,HAU/user1/3-2-1,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-1",15.0,614.0,14043275.416,14043335.316,35.0,48.0,14043277.416,14043278.716,3,harn_anchored
user1|3|2,user1,3,2,2,Standing up,32_Stand_up,Meticulously,CARE,HAU/user1/3-2-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-2",17.0,639.0,14043663.616,14043725.816,35.0,48.0,14043665.416,14043666.716,3,harn_anchored
user1|3|2,user1,3,2,3,Standing up,32_Stand_up,Hurriedly,FAST,HAU/user1/3-2-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-3",14.0,425.0,14043946.316,14043987.416,26.0,39.0,14043947.516,14043948.816,3,harn_anchored
user1|3|2,user1,3,2,1,Sitting down,34_Sit_down,Casually,NEUT,HAU/user1/3-2-1,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-1",15.0,614.0,14043275.416,14043335.316,243.0,255.0,14043298.216,14043299.416,3,harn_anchored
user1|3|2,user1,3,2,2,Sitting down,34_Sit_down,Meticulously,CARE,HAU/user1/3-2-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-2",17.0,639.0,14043663.616,14043725.816,256.0,269.0,14043687.516,14043688.816,3,harn_anchored
user1|3|2,user1,3,2,3,Sitting down,34_Sit_down,Hurriedly,FAST,HAU/user1/3-2-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-3",14.0,425.0,14043946.316,14043987.416,174.0,182.0,14043962.316,14043963.116,3,harn_anchored
user1|3|2,user1,3,2,1,Lunges,35_Do_lunges,Casually,NEUT,HAU/user1/3-2-1,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-1",15.0,614.0,14043275.416,14043335.316,559.0,614.0,14043329.816,14043335.316,3,harn_anchored
user1|3|2,user1,3,2,2,Lunges,35_Do_lunges,Meticulously,CARE,HAU/user1/3-2-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-2",17.0,639.0,14043663.616,14043725.816,594.0,637.0,14043721.316,14043725.616,3,harn_anchored
user1|3|2,user1,3,2,3,Lunges,35_Do_lunges,Hurriedly,FAST,HAU/user1/3-2-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-3",14.0,425.0,14043946.316,14043987.416,391.0,425.0,14043984.016,14043987.416,3,harn_anchored
user1|3|2,user1,3,2,1,Walking,36_Walk,Casually,NEUT,HAU/user1/3-2-1,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-1",15.0,614.0,14043275.416,14043335.316,50.0,80.0,14043278.916,14043281.916,3,harn_anchored
user1|3|2,user1,3,2,2,Walking,36_Walk,Meticulously,CARE,HAU/user1/3-2-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-2",17.0,639.0,14043663.616,14043725.816,50.0,85.0,14043666.916,14043670.416,3,harn_anchored
user1|3|2,user1,3,2,3,Walking,36_Walk,Hurriedly,FAST,HAU/user1/3-2-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/3-2-3",14.0,425.0,14043946.316,14043987.416,39.0,52.0,14043948.816,14043950.116,3,harn_anchored
user1|4|1,user1,4,1,1,Peeling fruit,11_Peel_fruits,Casually,NEUT,HAU/user1/4-1-1,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/4-1-1",21.0,763.0,14048256.016,14048330.216,76.0,183.0,14048261.516,14048272.216,3,harn_anchored
user1|4|1,user1,4,1,2,Peeling fruit,11_Peel_fruits,Seriously,CARE,HAU/user1/4-1-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/4-1-2",18.0,625.0,14048560.716,14048621.416,71.0,179.0,14048566.016,14048576.816,3,harn_anchored
user1|4|1,user1,4,1,3,Peeling fruit,11_Peel_fruits,Quickly,FAST,HAU/user1/4-1-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/4-1-3",17.0,392.0,14048860.616,14048898.116,48.0,83.0,14048863.716,14048867.216,3,harn_anchored
user1|4|1,user1,4,1,1,Washing dishes,14_Wipe_bowls,Casually,NEUT,HAU/user1/4-1-1,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/4-1-1",21.0,763.0,14048256.016,14048330.216,734.0,763.0,14048327.316,14048330.216,3,harn_anchored
user1|4|1,user1,4,1,2,Washing dishes,14_Wipe_bowls,Seriously,CARE,HAU/user1/4-1-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/4-1-2",18.0,625.0,14048560.716,14048621.416,594.0,625.0,14048618.316,14048621.416,3,harn_anchored
user1|4|1,user1,4,1,3,Washing dishes,14_Wipe_bowls,Quickly,FAST,HAU/user1/4-1-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/4-1-3",17.0,392.0,14048860.616,14048898.116,370.0,392.0,14048895.916,14048898.116,3,harn_anchored
user1|4|1,user1,4,1,1,Drinking,6_Drink_water,Casually,NEUT,HAU/user1/4-1-1,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/4-1-1",21.0,763.0,14048256.016,14048330.216,501.0,561.0,14048304.016,14048310.016,3,harn_anchored
user1|4|1,user1,4,1,2,Drinking,6_Drink_water,Seriously,CARE,HAU/user1/4-1-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/4-1-2",18.0,625.0,14048560.716,14048621.416,405.0,451.0,14048599.416,14048604.016,3,harn_anchored
user1|4|1,user1,4,1,3,Drinking,6_Drink_water,Quickly,FAST,HAU/user1/4-1-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/4-1-3",17.0,392.0,14048860.616,14048898.116,275.0,296.0,14048886.416,14048888.516,3,harn_anchored
user1|4|1,user1,4,1,1,Eating,7_Eat_food,Casually,NEUT,HAU/user1/4-1-1,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/4-1-1",21.0,763.0,14048256.016,14048330.216,597.0,688.0,14048313.616,14048322.716,3,harn_anchored
user1|4|1,user1,4,1,2,Eating,7_Eat_food,Seriously,CARE,HAU/user1/4-1-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/4-1-2",18.0,625.0,14048560.716,14048621.416,489.0,572.0,14048607.816,14048616.116,3,harn_anchored
user1|4|1,user1,4,1,3,Eating,7_Eat_food,Quickly,FAST,HAU/user1/4-1-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/4-1-3",17.0,392.0,14048860.616,14048898.116,313.0,357.0,14048890.216,14048894.616,3,harn_anchored
user1|4|1,user1,4,1,1,Grabbing utensils,8_Take_and_use_tableware,Casually,NEUT,HAU/user1/4-1-1,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/4-1-1",21.0,763.0,14048256.016,14048330.216,576.0,598.0,14048311.516,14048313.716,2,harn_anchored
user1|4|1,user1,4,1,2,Grabbing utensils,8_Take_and_use_tableware,Seriously,CARE,HAU/user1/4-1-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/4-1-2",18.0,625.0,14048560.716,14048621.416,471.0,492.0,14048606.016,14048608.116,2,harn_anchored
user1|4|1,user1,4,1,1,Pouring,9_Pour_drinks,Casually,NEUT,HAU/user1/4-1-1,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/4-1-1",21.0,763.0,14048256.016,14048330.216,398.0,472.0,14048293.716,14048301.116,3,harn_anchored
user1|4|1,user1,4,1,2,Pouring,9_Pour_drinks,Seriously,CARE,HAU/user1/4-1-2,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/4-1-2",18.0,625.0,14048560.716,14048621.416,301.0,372.0,14048589.016,14048596.116,3,harn_anchored
user1|4|1,user1,4,1,3,Pouring,9_Pour_drinks,Quickly,FAST,HAU/user1/4-1-3,"/Users/toheeb.ogunade/Workspace/cuchx-large/hf_data_manual/LMT_(IMU,Radar,Skeleton)/Training/HAU/user1/4-1-3",17.0,392.0,14048860.616,14048898.116,154.0,224.0,14048874.316,14048881.316,3,harn_anchored
