qa_id,fold,k,truth,base_pred,ext_pred,champ_pred,champ_ok,has_phase,base_ok,ext_ok
training_3103,0,3,C,D,D,C,True,True,False,False
training_3104,0,3,B,B,B,B,True,True,True,True
training_3105,0,3,A,D,D,A,True,True,False,False
training_3106,0,3,D,D,D,D,True,True,True,True
training_3107,0,3,C,A,A,A,False,True,False,False
training_3108,0,3,A,D,D,D,False,True,False,False
training_3304,1,3,C,C,C,C,True,True,True,True
training_3305,1,3,C,C,C,C,True,True,True,True
training_3306,1,3,A,A,A,A,True,True,True,True
training_3307,1,3,A,B,A,A,True,True,False,True
training_3308,1,3,B,B,B,B,True,True,True,True
training_3309,1,3,D,C,D,D,True,True,False,True
training_3310,1,3,A,A,A,A,True,True,True,True
training_3311,1,3,A,A,A,A,True,True,True,True
training_3312,1,3,A,A,A,A,True,True,True,True
training_3313,1,3,A,A,A,A,True,True,True,True
training_3314,1,3,D,D,D,D,True,True,True,True
training_3315,1,3,A,A,A,A,True,True,True,True
training_3316,1,3,C,C,C,C,True,True,True,True
training_3317,1,3,C,C,C,C,True,True,True,True
training_3318,1,3,A,A,A,A,True,True,True,True
training_3319,1,3,C,C,C,C,True,True,True,True
training_3320,1,3,C,C,C,C,True,True,True,True
training_3321,1,3,A,A,A,A,True,True,True,True
training_3322,1,3,B,B,B,B,True,True,True,True
training_3323,1,3,D,D,D,D,True,True,True,True
training_3324,1,3,B,B,B,B,True,True,True,True
training_3325,1,3,B,B,B,B,True,True,True,True
training_3326,1,3,D,D,D,D,True,True,True,True
training_3327,1,3,D,D,D,D,True,True,True,True
training_3328,1,3,D,A,D,C,False,True,False,True
training_3329,1,3,A,A,A,D,False,True,True,True
training_3330,1,3,D,C,D,D,True,True,False,True
training_3331,1,3,A,A,A,B,False,True,True,True
training_3332,1,3,B,B,B,B,True,True,True,True
training_3333,1,3,C,C,C,A,False,True,True,True
training_3334,1,3,C,C,C,C,True,True,True,True
training_3335,1,3,B,B,B,B,True,True,True,True
training_3336,1,3,C,C,C,C,True,True,True,True
training_3337,1,3,B,B,B,B,True,True,True,True
training_3338,1,3,C,C,C,C,True,True,True,True
training_3339,1,3,D,D,D,D,True,True,True,True
training_3340,1,3,A,B,B,A,True,True,False,False
training_3341,1,3,A,C,C,A,True,True,False,False
training_3342,1,3,A,C,C,C,False,True,False,False
training_3343,1,3,B,B,B,B,True,True,True,True
training_3344,1,3,B,C,C,C,False,True,False,False
training_3345,1,3,A,B,B,B,False,True,False,False
training_3388,1,2,D,A,A,A,False,True,False,False
training_3389,1,2,B,B,B,B,True,True,True,True
training_3390,1,3,D,D,D,D,True,True,True,True
training_3391,1,3,B,B,B,B,True,True,True,True
training_3392,1,3,A,A,A,A,True,True,True,True
training_3393,1,3,A,A,A,A,True,True,True,True
training_3394,1,3,A,A,A,A,True,True,True,True
training_3395,1,3,C,C,C,C,True,True,True,True
training_3396,1,3,C,C,C,C,True,True,True,True
training_3397,1,3,C,C,C,C,True,True,True,True
training_3398,1,3,A,A,A,A,True,True,True,True
training_3399,1,2,C,C,C,C,True,True,True,True
training_3400,1,2,D,D,D,D,True,True,True,True
training_3401,1,3,A,A,A,A,True,True,True,True
training_3402,1,3,D,D,D,D,True,True,True,True
training_3403,1,3,A,A,A,A,True,True,True,True
training_3404,1,3,D,D,D,D,True,True,True,True
training_3405,1,3,C,C,C,C,True,True,True,True
training_3406,1,3,C,C,C,C,True,True,True,True
training_3407,1,3,D,D,C,C,False,True,True,False
training_3408,1,3,B,B,B,B,True,True,True,True
training_3409,1,3,A,A,B,B,False,True,True,False
training_3410,1,3,D,D,D,D,True,True,True,True
training_3411,1,3,C,C,C,C,True,True,True,True
training_3412,1,3,B,B,B,B,True,True,True,True
training_3413,1,3,A,C,D,D,False,True,False,False
training_3414,1,3,D,C,D,A,False,True,False,True
training_3415,1,3,C,D,D,A,False,True,False,False
training_3416,1,3,B,B,B,B,True,True,True,True
training_3417,1,3,A,A,A,A,True,True,True,True
training_3418,1,3,B,B,B,B,True,True,True,True
training_3419,1,3,D,D,D,D,True,True,True,True
training_3420,1,3,C,C,C,C,True,True,True,True
training_3421,1,3,B,B,B,B,True,True,True,True
training_3422,1,3,D,D,D,D,True,True,True,True
training_3423,1,3,C,C,C,C,True,True,True,True
training_3424,1,3,C,C,C,C,True,True,True,True
training_3425,1,3,D,D,D,D,True,True,True,True
training_3426,1,3,B,B,B,B,True,True,True,True
training_3427,1,3,D,D,D,D,True,True,True,True
training_3428,1,3,D,D,D,D,True,True,True,True
training_3429,1,3,D,D,D,D,True,True,True,True
training_3430,1,3,A,A,A,A,True,True,True,True
training_3431,1,3,B,B,B,B,True,True,True,True
training_3432,1,3,C,C,C,C,True,True,True,True
training_3433,1,3,C,C,C,C,True,True,True,True
training_3434,1,3,A,A,A,A,True,True,True,True
training_3435,1,3,B,B,B,B,True,True,True,True
training_3436,1,3,A,A,A,A,True,True,True,True
training_3437,1,3,A,A,A,A,True,True,True,True
training_3438,1,3,D,D,D,D,True,True,True,True
training_3439,1,3,C,C,C,C,True,True,True,True
training_3440,1,3,C,C,C,C,True,True,True,True
training_3441,1,3,C,C,B,C,True,True,True,False
training_3442,1,3,C,C,D,C,True,True,True,False
training_3443,1,3,A,A,A,B,False,False,True,True
training_3444,1,3,B,B,B,C,False,False,True,True
training_3445,1,3,C,C,C,B,False,False,True,True
training_3446,1,3,A,A,A,A,True,True,True,True
training_3447,1,3,A,A,A,A,True,True,True,True
training_3448,1,3,A,A,A,A,True,True,True,True
training_3449,1,3,D,D,D,D,True,True,True,True
training_3450,1,3,B,B,B,B,True,True,True,True
training_3451,1,3,B,B,B,B,True,True,True,True
training_3452,1,3,B,B,B,B,True,True,True,True
training_3453,1,3,A,A,A,A,True,True,True,True
training_3454,1,3,B,B,B,B,True,True,True,True
training_3455,1,3,C,C,C,C,True,True,True,True
training_3456,1,3,D,D,D,D,True,True,True,True
training_3457,1,3,C,C,C,C,True,True,True,True
training_3458,1,3,D,D,D,D,True,True,True,True
training_3459,1,3,C,B,B,C,True,True,False,False
training_3460,1,3,B,D,D,B,True,True,False,False
training_3461,1,3,C,C,C,C,True,True,True,True
training_3462,1,3,C,C,C,C,True,True,True,True
training_3463,1,3,C,C,C,C,True,True,True,True
training_3464,1,3,D,D,D,D,True,True,True,True
training_3465,1,3,A,A,A,A,True,True,True,True
training_3466,1,3,A,A,A,A,True,True,True,True
training_3467,1,3,B,B,B,B,True,True,True,True
training_3468,1,3,B,B,B,B,True,True,True,True
training_3469,1,3,D,D,D,D,True,True,True,True
training_3470,1,3,D,D,D,D,True,True,True,True
training_3471,1,3,B,B,B,B,True,True,True,True
training_3472,1,3,B,B,B,B,True,True,True,True
training_3473,1,2,B,C,C,C,False,True,False,False
training_3474,1,2,C,D,D,D,False,True,False,False
training_3475,1,3,A,A,A,A,True,True,True,True
training_3476,1,3,A,A,A,C,False,True,True,True
training_3477,1,3,B,B,B,D,False,True,True,True
training_3478,1,3,A,A,A,A,True,True,True,True
training_3479,1,3,B,B,B,B,True,True,True,True
training_3480,1,3,B,B,B,B,True,True,True,True
training_3481,1,3,D,D,D,D,True,True,True,True
training_3482,1,3,A,A,A,A,True,True,True,True
training_3483,1,3,A,A,A,A,True,True,True,True
training_3484,1,3,D,D,D,D,True,True,True,True
training_3485,1,3,A,A,A,A,True,True,True,True
training_3486,1,3,C,C,C,C,True,True,True,True
training_3487,1,3,D,D,D,D,True,True,True,True
training_3488,1,3,C,C,C,C,True,True,True,True
training_3489,1,3,D,D,D,D,True,True,True,True
training_2836,1,3,A,A,A,A,True,True,True,True
training_2837,1,3,B,B,B,B,True,True,True,True
training_2838,1,3,A,A,A,A,True,True,True,True
training_2839,1,3,C,C,C,C,True,True,True,True
training_2840,1,3,A,A,A,A,True,True,True,True
training_2841,1,3,B,B,B,B,True,True,True,True
training_2842,1,3,A,B,B,A,True,True,False,False
training_2843,1,3,B,A,A,B,True,True,False,False
training_2844,1,3,A,A,A,A,True,True,True,True
training_2845,1,3,B,B,B,B,True,True,True,True
training_2846,1,3,B,B,B,C,False,True,True,True
training_2847,1,3,B,B,B,C,False,True,True,True
training_2848,1,3,A,A,A,A,True,True,True,True
training_2849,1,3,C,C,C,C,True,True,True,True
training_2850,1,3,B,B,B,B,True,True,True,True
training_2851,1,3,D,D,D,D,True,True,True,True
training_2852,1,3,D,D,D,D,True,True,True,True
training_2853,1,3,C,C,C,C,True,True,True,True
training_2854,1,3,D,D,D,D,True,True,True,True
training_2855,1,3,A,A,A,A,True,True,True,True
training_2856,1,3,C,C,C,C,True,True,True,True
training_2857,1,3,A,D,D,D,False,True,False,False
training_2858,1,3,B,A,A,A,False,True,False,False
training_2859,1,3,B,B,B,B,True,True,True,True
training_2860,1,3,A,D,D,D,False,True,False,False
training_2861,1,3,C,A,A,A,False,True,False,False
training_2862,1,3,C,C,C,C,True,True,True,True
training_2863,1,3,C,C,C,C,True,True,True,True
training_2864,1,3,D,D,D,D,True,True,True,True
training_2865,1,3,C,C,C,C,True,True,True,True
training_2866,1,3,A,A,A,A,True,True,True,True
training_2867,1,3,B,B,B,B,True,True,True,True
training_2868,1,3,D,D,D,D,True,True,True,True
training_2869,1,3,D,D,D,D,True,True,True,True
training_2870,1,3,D,D,D,D,True,True,True,True
training_2871,1,3,C,C,C,C,True,True,True,True
training_3109,2,3,C,C,C,C,True,True,True,True
training_3110,2,3,A,A,A,A,True,True,True,True
training_3111,2,3,A,A,A,A,True,True,True,True
training_3112,2,3,D,D,D,D,True,True,True,True
training_3113,2,3,B,B,B,B,True,True,True,True
training_3114,2,3,D,D,D,D,True,True,True,True
training_3115,2,3,C,C,C,C,True,True,True,True
training_3116,2,3,D,D,D,D,True,True,True,True
training_3117,2,3,D,D,D,D,True,True,True,True
training_3118,2,3,C,C,C,C,True,True,True,True
training_3119,2,3,C,C,C,C,True,True,True,True
training_3120,2,3,A,A,A,A,True,True,True,True
training_3121,2,3,C,C,C,C,True,True,True,True
training_3122,2,3,D,D,D,D,True,True,True,True
training_3123,2,3,A,A,A,A,True,True,True,True
training_3124,2,3,C,C,C,C,True,True,True,True
training_3125,2,3,B,B,B,B,True,True,True,True
training_3126,2,3,B,B,B,B,True,True,True,True
training_3127,2,3,A,A,A,A,True,True,True,True
training_3128,2,3,C,C,C,C,True,True,True,True
training_3129,2,3,B,B,B,B,True,True,True,True
training_3130,2,3,C,D,D,D,False,True,False,False
training_3131,2,3,A,B,B,B,False,True,False,False
training_3132,2,3,C,C,C,C,True,True,True,True
training_3133,2,3,C,C,C,C,True,True,True,True
training_3134,2,3,C,C,C,C,True,True,True,True
training_3135,2,3,C,C,C,C,True,True,True,True
training_3136,2,3,C,C,C,C,True,True,True,True
training_3137,2,3,A,A,A,A,True,True,True,True
training_3138,2,3,B,B,B,B,True,True,True,True
training_3139,2,3,B,B,B,B,True,True,True,True
training_3140,2,3,B,B,B,B,True,True,True,True
training_3141,2,3,D,D,D,D,True,True,True,True
training_3142,2,3,B,B,B,B,True,True,True,True
training_3143,2,3,A,A,A,A,True,True,True,True
training_3144,2,3,C,C,C,C,True,True,True,True
training_3145,2,3,B,B,B,B,True,True,True,True
training_3146,2,3,B,B,B,B,True,True,True,True
training_3147,2,3,D,D,D,D,True,True,True,True
training_3148,2,3,B,B,B,B,True,True,True,True
training_3149,2,3,A,A,A,A,True,True,True,True
training_3150,2,3,D,D,D,D,True,True,True,True
training_3151,2,3,A,A,A,A,True,True,True,True
training_3152,2,3,B,B,B,B,True,True,True,True
training_3153,2,3,D,D,D,D,True,True,True,True
training_3154,2,3,D,D,D,D,True,True,True,True
training_3155,2,3,A,A,A,A,True,True,True,True
training_3156,2,3,B,B,B,B,True,True,True,True
training_3157,2,3,D,D,D,B,False,True,True,True
training_3158,2,3,A,A,A,C,False,True,True,True
training_3159,2,3,C,C,C,C,True,True,True,True
training_3208,2,3,C,C,C,C,True,True,True,True
training_3209,2,3,C,C,C,C,True,True,True,True
training_3210,2,3,C,C,C,C,True,True,True,True
training_3211,2,3,B,B,B,A,False,True,True,True
training_3212,2,3,B,B,B,B,True,True,True,True
training_3213,2,3,A,A,A,C,False,True,True,True
training_3214,2,3,A,A,A,A,True,True,True,True
training_3215,2,3,B,B,B,B,True,True,True,True
training_3216,2,3,A,A,A,A,True,True,True,True
training_3217,2,3,D,D,D,D,True,True,True,True
training_3218,2,3,A,A,A,A,True,True,True,True
training_3219,2,3,D,D,D,D,True,True,True,True
training_3220,2,3,C,C,C,C,True,True,True,True
training_3221,2,3,D,D,D,D,True,True,True,True
training_3222,2,3,D,D,D,D,True,True,True,True
training_3223,2,3,A,A,A,A,True,True,True,True
training_3224,2,3,A,A,A,A,True,True,True,True
training_3225,2,3,B,B,B,B,True,True,True,True
training_3226,2,3,D,D,D,D,True,True,True,True
training_3227,2,3,A,A,A,A,True,True,True,True
training_3228,2,3,B,B,B,B,True,True,True,True
training_3229,2,3,B,B,B,B,True,True,True,True
training_3230,2,3,B,B,B,B,True,True,True,True
training_3231,2,3,A,A,A,A,True,True,True,True
training_3232,2,3,B,B,B,B,True,True,True,True
training_3233,2,3,D,D,D,D,True,True,True,True
training_3234,2,3,D,D,D,D,True,True,True,True
training_3235,2,3,A,A,A,A,True,True,True,True
training_3236,2,3,A,A,A,A,True,True,True,True
training_3237,2,3,D,D,D,D,True,True,True,True
training_3238,2,3,B,B,B,B,True,True,True,True
training_3239,2,3,B,B,B,B,True,True,True,True
training_3240,2,3,C,C,C,C,True,True,True,True
training_3241,2,3,A,A,A,A,True,True,True,True
training_3242,2,3,B,B,B,B,True,True,True,True
training_3243,2,3,C,C,C,C,True,True,True,True
training_3244,2,3,C,C,C,C,True,True,True,True
training_3245,2,3,C,C,C,C,True,True,True,True
training_3246,2,3,D,D,D,D,True,True,True,True
training_3247,2,3,D,D,D,D,True,True,True,True
training_3248,2,3,A,A,A,A,True,True,True,True
training_3249,2,3,D,D,D,D,True,True,True,True
training_3490,2,3,D,A,A,A,False,True,False,False
training_3491,2,3,C,A,A,A,False,True,False,False
training_3492,2,3,D,D,D,D,True,True,True,True
training_3493,2,3,A,A,A,A,True,True,True,True
training_3494,2,3,D,D,D,D,True,True,True,True
training_3495,2,3,B,B,B,B,True,True,True,True
training_3496,2,3,A,A,A,A,True,True,True,True
training_3497,2,3,D,D,D,D,True,True,True,True
training_3498,2,3,A,A,A,A,True,True,True,True
training_3499,2,3,D,D,D,D,True,True,True,True
training_3500,2,3,C,C,C,C,True,True,True,True
training_3501,2,3,D,D,D,D,True,True,True,True
training_3502,2,3,C,C,C,C,True,True,True,True
training_3503,2,3,A,A,A,A,True,True,True,True
training_3504,2,3,D,D,D,D,True,True,True,True
training_3505,2,3,B,B,B,B,True,True,True,True
training_3506,2,3,B,B,B,B,True,True,True,True
training_3507,2,3,C,C,C,C,True,True,True,True
training_3508,2,3,D,B,B,B,False,True,False,False
training_3509,2,3,C,B,B,B,False,True,False,False
training_3510,2,3,C,C,C,C,True,True,True,True
training_3511,2,3,A,A,A,A,True,True,True,True
training_3512,2,3,D,D,D,D,True,True,True,True
training_3513,2,3,D,D,D,D,True,True,True,True
training_3514,2,3,C,C,C,C,True,True,True,True
training_3515,2,3,A,A,A,A,True,True,True,True
training_3516,2,3,B,B,B,B,True,True,True,True
training_3517,2,3,B,B,B,B,True,True,True,True
training_3518,2,3,C,C,C,C,True,True,True,True
training_3519,2,3,C,C,C,C,True,True,True,True
training_3520,2,3,C,B,B,B,False,True,False,False
training_3521,2,3,B,C,C,D,False,True,False,False
training_3522,2,3,D,D,D,A,False,True,True,True
training_3523,2,3,D,D,D,D,True,True,True,True
training_3524,2,3,C,C,C,C,True,True,True,True
training_3525,2,3,A,A,A,A,True,True,True,True
training_3526,2,3,A,A,A,A,True,True,True,True
training_3527,2,3,B,B,B,B,True,True,True,True
training_3528,2,3,C,C,C,C,True,True,True,True
training_3529,2,3,D,D,D,D,True,True,True,True
training_3530,2,3,C,C,C,C,True,True,True,True
training_3531,2,3,B,B,B,B,True,True,True,True
training_3532,2,3,B,B,B,B,True,True,True,True
training_3533,2,3,B,B,B,B,True,True,True,True
training_3534,2,3,A,A,A,A,True,True,True,True
training_2800,2,3,D,D,D,D,True,False,True,True
training_2801,2,3,B,B,B,B,True,False,True,True
training_2802,2,3,C,C,C,C,True,False,True,True
training_2803,2,3,C,C,C,C,True,True,True,True
training_2804,2,3,C,C,C,C,True,True,True,True
training_2805,2,3,A,A,A,A,True,True,True,True
training_2806,2,3,A,A,A,A,True,True,True,True
training_2807,2,3,C,C,C,C,True,True,True,True
training_2808,2,3,D,D,D,D,True,True,True,True
training_2809,2,3,C,C,C,C,True,True,True,True
training_2810,2,3,D,D,D,D,True,True,True,True
training_2811,2,3,C,C,C,C,True,True,True,True
training_2812,2,3,C,C,C,C,True,True,True,True
training_2813,2,3,C,C,C,C,True,True,True,True
training_2814,2,3,A,A,A,A,True,True,True,True
training_2815,2,3,A,A,A,A,True,True,True,True
training_2816,2,3,B,B,B,B,True,True,True,True
training_2817,2,3,C,C,C,C,True,True,True,True
training_2818,2,3,A,A,A,A,True,True,True,True
training_2819,2,3,A,A,A,A,True,True,True,True
training_2820,2,3,D,D,D,D,True,True,True,True
training_2821,2,3,D,D,D,D,True,True,True,True
training_2822,2,3,A,A,A,A,True,True,True,True
training_2823,2,3,D,D,D,D,True,True,True,True
training_2824,2,3,C,C,C,C,True,True,True,True
training_2825,2,3,B,B,B,C,False,True,True,True
training_2826,2,3,A,A,A,D,False,True,True,True
training_2827,2,3,B,B,B,B,True,True,True,True
training_2828,2,3,C,C,C,C,True,True,True,True
training_2829,2,3,B,B,B,B,True,True,True,True
training_2830,2,3,C,A,A,A,False,False,False,False
training_2831,2,3,D,A,A,A,False,False,False,False
training_2832,2,3,C,C,C,C,True,False,True,True
training_2833,2,3,A,A,A,A,True,True,True,True
training_2834,2,3,D,D,D,D,True,True,True,True
training_2835,2,3,C,C,C,C,True,True,True,True
training_3250,3,3,A,A,A,A,True,True,True,True
training_3251,3,3,A,A,A,A,True,True,True,True
training_3252,3,3,A,A,A,A,True,True,True,True
training_3253,3,3,B,B,B,B,True,True,True,True
training_3254,3,3,A,A,A,A,True,True,True,True
training_3255,3,3,B,B,B,B,True,True,True,True
training_3256,3,3,B,B,B,B,True,True,True,True
training_3257,3,3,D,D,D,D,True,True,True,True
training_3258,3,3,D,D,D,D,True,True,True,True
training_3259,3,3,B,B,B,B,True,True,True,True
training_3260,3,3,B,B,B,B,True,True,True,True
training_3261,3,3,D,D,D,D,True,True,True,True
training_3262,3,3,A,A,A,A,True,True,True,True
training_3263,3,3,D,D,D,D,True,True,True,True
training_3264,3,3,A,A,A,A,True,True,True,True
training_3265,3,3,A,A,A,A,True,True,True,True
training_3266,3,3,B,B,B,B,True,True,True,True
training_3267,3,3,C,C,C,C,True,True,True,True
training_3268,3,3,B,B,B,B,True,True,True,True
training_3269,3,3,A,A,A,A,True,True,True,True
