qa_id,source,path,category,question,A,B,C,D,answer,subject_id
training_0124,HAU,HAU/user4/2-2-3,single,Which action is performed in this video?,Lunges,Standing up,Mopping,Taking medicine,C,user4
training_0125,HAU,HAU/user4/3-2-1,single,Which action is performed in this video?,Undressing,Taking medicine,Jumping jacks,Sitting down,C,user4
training_0126,HAU,HAU/user4/3-2-2,single,Which action is performed in this video?,Taking medicine,Standing up,Eating,Sitting down,B,user4
training_0127,HAU,HAU/user4/3-2-3,single,Which action is performed in this video?,Calling,Washing face,Stirring,Stretching,D,user4
training_0128,HAU,HAU/user4/4-1-1,single,Which action is performed in this video?,Jumping jacks,Eating,Pouring,Typing on a keyboard,D,user4
training_0129,HAU,HAU/user4/4-1-2,single,Which action is performed in this video?,Squats,Lying down,Checking the time,Turning a page,D,user4
training_0130,HAU,HAU/user4/4-1-3,single,Which action is performed in this video?,Sweeping,Turning a page,Pouring,Lunges,B,user4
training_0131,HAU,HAU/user4/4-2-1,single,Which action is performed in this video?,Lunges,Playing games,Washing dishes,Washing face,C,user4
training_0132,HAU,HAU/user4/4-2-2,single,Which action is performed in this video?,Massaging oneself,Running,Folding clothes,Drinking,D,user4
training_0133,HAU,HAU/user4/4-2-3,single,Which action is performed in this video?,Drinking,Standing up,Listening to the music with headphones,Taking medicine,A,user4
training_0134,HAU,HAU/user4/5-1-1,single,Which action is performed in this video?,Checking the time,Standing up,Eating,Combing hair,C,user4
training_0135,HAU,HAU/user4/5-1-2,single,Which action is performed in this video?,Taking medicine,Wiping surface,Eating,Sitting down,C,user4
training_0136,HAU,HAU/user4/5-1-3,single,Which action is performed in this video?,Sweeping,Massaging oneself,Jumping jacks,Stirring,D,user4
training_0137,HAU,HAU/user4/5-2-1,single,Which action is performed in this video?,Stirring,Typing on a keyboard,Wiping hands,Squats,B,user4
training_0138,HAU,HAU/user4/5-2-2,single,Which action is performed in this video?,Running,Using a phone,Watching TV,Walking,D,user4
training_0139,HAU,HAU/user4/5-2-3,single,Which action is performed in this video?,Typing on a keyboard,Drinking,Taking a selfie,Calling,A,user4
training_0140,HAU,HAU/user4/6-1-1,single,Which action is performed in this video?,Lunges,Listening to the music with headphones,Stretching,Undressing,B,user4
training_0141,HAU,HAU/user4/6-1-2,single,Which action is performed in this video?,Washing face,Calling,Taking medicine,Wiping surface,B,user4
training_0142,HAU,HAU/user4/6-1-3,single,Which action is performed in this video?,Typing on a keyboard,Using a phone,Wiping hands,Checking the time,B,user4
training_0143,HAU,HAU/user4/7-1-1,single,Which action is performed in this video?,Folding clothes,Typing on a keyboard,Getting dressed,Peeling fruit,D,user4
training_0144,HAU,HAU/user4/7-1-2,single,Which action is performed in this video?,Wiping surface,Taking medicine,Checking the time,Running,B,user4
training_0145,HAU,HAU/user4/7-1-3,single,Which action is performed in this video?,Playing games,Peeling fruit,Washing face,Running,B,user4
training_0146,HAU,HAU/user4/7-2-1,single,Which action is performed in this video?,Playing games,Wiping surface,Using a phone,Eating,D,user4
training_0147,HAU,HAU/user4/7-2-2,single,Which action is performed in this video?,Sweeping,Squats,Wiping surface,Massaging oneself,D,user4
training_0148,HAU,HAU/user4/7-2-3,single,Which action is performed in this video?,Writing,Playing games,Sitting down,Typing on a keyboard,C,user4
training_0149,HAU,HAU/user5/1-1-1,single,Which action is performed in this video?,Washing face,Calling,Brushing teeth,Listening to the music with headphones,A,user5
training_0150,HAU,HAU/user5/1-1-2,single,Which action is performed in this video?,Playing games,Folding clothes,Combing hair,Washing dishes,C,user5
training_0151,HAU,HAU/user5/1-1-3,single,Which action is performed in this video?,Washing face,Reading,Sitting down,Wiping hands,A,user5
training_0152,HAU,HAU/user5/1-2-1,single,Which action is performed in this video?,Washing dishes,Getting dressed,Eating,Playing games,C,user5
training_0153,HAU,HAU/user5/1-2-2,single,Which action is performed in this video?,Pouring,Washing dishes,Writing,Sitting down,A,user5
training_0154,HAU,HAU/user5/1-2-3,single,Which action is performed in this video?,Listening to the music with headphones,Mopping,Playing games,Drinking,D,user5
training_0155,HAU,HAU/user5/2-1-1,single,Which action is performed in this video?,Getting dressed,Lying down,Stretching,Eating,D,user5
training_0156,HAU,HAU/user5/2-1-2,single,Which action is performed in this video?,Mopping,Taking medicine,Reading,Lying down,C,user5
training_0157,HAU,HAU/user5/2-1-3,single,Which action is performed in this video?,Checking the time,Sweeping,Lying down,Turning a page,D,user5
training_0158,HAU,HAU/user5/3-1-1,single,Which action is performed in this video?,Wiping surface,Wiping hands,Reading,Squats,C,user5
training_0159,HAU,HAU/user5/3-1-2,single,Which action is performed in this video?,Combing hair,Checking the time,Grabbing utensils,Standing up,D,user5
training_0160,HAU,HAU/user5/3-1-3,single,Which action is performed in this video?,Grabbing utensils,Listening to the music with headphones,Sweeping,Squats,C,user5
training_0161,HAU,HAU/user5/3-2-1,single,Which action is performed in this video?,Wiping surface,Stretching,Sweeping,Eating,D,user5
training_0162,HAU,HAU/user5/3-2-2,single,Which action is performed in this video?,Calling,Combing hair,Sitting down,Drinking,D,user5
training_0163,HAU,HAU/user5/3-2-3,single,Which action is performed in this video?,Drinking,Lunges,Sitting down,Sweeping,A,user5
training_0164,HAU,HAU/user5/4-1-1,single,Which action is performed in this video?,Typing on a keyboard,Eating,Getting dressed,Stretching,A,user5
training_0165,HAU,HAU/user5/4-1-2,single,Which action is performed in this video?,Typing on a keyboard,Grabbing utensils,Watching TV,Wiping surface,A,user5
training_0166,HAU,HAU/user5/4-1-3,single,Which action is performed in this video?,Calling,Mopping,Watching TV,Washing dishes,A,user5
training_0167,HAU,HAU/user5/4-2-1,single,Which action is performed in this video?,Pouring,Turning a page,Wiping surface,Washing dishes,A,user5
training_0168,HAU,HAU/user5/4-2-2,single,Which action is performed in this video?,Lunges,Walking,Washing face,Reading,B,user5
training_0169,HAU,HAU/user5/4-2-3,single,Which action is performed in this video?,Washing dishes,Pouring,Stretching,Undressing,B,user5
training_0170,HAU,HAU/user5/4-3-1,single,Which action is performed in this video?,Squats,Reading,Watching TV,Lying down,B,user5
training_0171,HAU,HAU/user5/4-3-2,single,Which action is performed in this video?,Running,Combing hair,Calling,Turning a page,D,user5
training_0172,HAU,HAU/user5/4-3-3,single,Which action is performed in this video?,Walking,Running,Listening to the music with headphones,Stretching,A,user5
training_0173,HAU,HAU/user5/5-1-1,single,Which action is performed in this video?,Pouring,Turning a page,Walking,Getting dressed,C,user5
training_0174,HAU,HAU/user5/5-1-2,single,Which action is performed in this video?,Checking body temperature,Wiping surface,Turning a page,Using a phone,B,user5
training_0175,HAU,HAU/user5/5-1-3,single,Which action is performed in this video?,Washing dishes,Eating,Checking body temperature,Walking,D,user5
training_0176,HAU,HAU/user5/5-2-1,single,Which action is performed in this video?,Standing up,Reading,Watching TV,Stretching,D,user5
training_0177,HAU,HAU/user5/5-2-2,single,Which action is performed in this video?,Stretching,Checking the time,Listening to the music with headphones,Folding clothes,A,user5
training_0178,HAU,HAU/user5/5-2-3,single,Which action is performed in this video?,Listening to the music with headphones,Walking,Getting dressed,Drinking,B,user5
training_0179,HAU,HAU/user5/6-1-1,single,Which action is performed in this video?,Using a phone,Eating,Turning a page,Lunges,D,user5
training_0180,HAU,HAU/user5/6-1-2,single,Which action is performed in this video?,Drinking,Lunges,Calling,Turning a page,B,user5
training_0181,HAU,HAU/user5/6-1-3,single,Which action is performed in this video?,Walking,Turning a page,Drinking,Massaging oneself,A,user5
training_0182,HAU,HAU/user5/6-2-1,single,Which action is performed in this video?,Taking a selfie,Brushing teeth,Peeling fruit,Jumping jacks,C,user5
training_0183,HAU,HAU/user5/6-2-2,single,Which action is performed in this video?,Washing face,Eating,Listening to the music with headphones,Lunges,B,user5
training_0184,HAU,HAU/user5/6-2-3,single,Which action is performed in this video?,Wiping surface,Getting dressed,Walking,Brushing teeth,C,user5
training_0185,HAU,HAU/user5/7-1-1,single,Which action is performed in this video?,Turning a page,Peeling fruit,Sitting down,Playing games,C,user5
training_0186,HAU,HAU/user5/7-1-2,single,Which action is performed in this video?,Combing hair,Drinking,Stirring,Wiping hands,A,user5
training_0187,HAU,HAU/user5/7-1-3,single,Which action is performed in this video?,Writing,Lying down,Lunges,Standing up,D,user5
training_0188,HAU,HAU/user5/7-2-1,single,Which action is performed in this video?,Mopping,Playing games,Checking the time,Washing dishes,A,user5
training_0189,HAU,HAU/user5/7-2-2,single,Which action is performed in this video?,Combing hair,Massaging oneself,Drinking,Using a phone,C,user5
training_0190,HAU,HAU/user5/7-2-3,single,Which action is performed in this video?,Checking the time,Walking,Using a phone,Wiping surface,B,user5
training_0191,HAU,HAU/user6/1-1-1,single,Which action is performed in this video?,Sitting down,Walking,Combing hair,Jumping jacks,B,user6
training_0192,HAU,HAU/user6/1-1-2,single,Which action is performed in this video?,Washing face,Squats,Folding clothes,Checking body temperature,A,user6
training_0193,HAU,HAU/user6/1-1-3,single,Which action is performed in this video?,Undressing,Sitting down,Wiping hands,Washing face,D,user6
training_0194,HAU,HAU/user6/1-2-1,single,Which action is performed in this video?,Stirring,Lying down,Stretching,Standing up,A,user6
training_0195,HAU,HAU/user6/1-2-2,single,Which action is performed in this video?,Peeling fruit,Folding clothes,Using a phone,Squats,A,user6
training_0196,HAU,HAU/user6/1-2-3,single,Which action is performed in this video?,Peeling fruit,Lying down,Stretching,Reading,A,user6
training_0197,HAU,HAU/user6/2-1-1,single,Which action is performed in this video?,Checking the time,Stirring,Folding clothes,Listening to the music with headphones,B,user6
training_0198,HAU,HAU/user6/2-1-2,single,Which action is performed in this video?,Writing,Checking body temperature,Stirring,Walking,C,user6
training_0199,HAU,HAU/user6/2-1-3,single,Which action is performed in this video?,Grabbing utensils,Turning a page,Sweeping,Wiping surface,A,user6
training_0200,HAU,HAU/user6/2-2-1,single,Which action is performed in this video?,Mopping,Stretching,Lying down,Wiping hands,D,user6
training_0201,HAU,HAU/user6/2-2-2,single,Which action is performed in this video?,Peeling fruit,Drinking,Sitting down,Combing hair,D,user6
training_0202,HAU,HAU/user6/2-2-3,single,Which action is performed in this video?,Combing hair,Playing games,Getting dressed,Massaging oneself,A,user6
training_0203,HAU,HAU/user6/2-3-1,single,Which action is performed in this video?,Undressing,Grabbing utensils,Combing hair,Sitting down,B,user6
training_0204,HAU,HAU/user6/2-3-2,single,Which action is performed in this video?,Running,Peeling fruit,Lying down,Massaging oneself,B,user6
training_0205,HAU,HAU/user6/2-3-3,single,Which action is performed in this video?,Wiping surface,Grabbing utensils,Massaging oneself,Taking medicine,B,user6
training_0206,HAU,HAU/user6/3-1-1,single,Which action is performed in this video?,Peeling fruit,Taking medicine,Squats,Getting dressed,C,user6
training_0207,HAU,HAU/user6/3-1-2,single,Which action is performed in this video?,Checking body temperature,Walking,Stirring,Watching TV,B,user6
training_0208,HAU,HAU/user6/3-1-3,single,Which action is performed in this video?,Walking,Undressing,Taking a selfie,Wiping hands,A,user6
training_0209,HAU,HAU/user6/3-2-1,single,Which action is performed in this video?,Folding clothes,Drinking,Walking,Taking a selfie,B,user6
training_0210,HAU,HAU/user6/3-2-2,single,Which action is performed in this video?,Drinking,Wiping surface,Standing up,Using a phone,A,user6
training_0211,HAU,HAU/user6/3-2-3,single,Which action is performed in this video?,Walking,Wiping surface,Getting dressed,Peeling fruit,D,user6
training_0212,HAU,HAU/user6/3-3-1,single,Which action is performed in this video?,Playing games,Peeling fruit,Walking,Checking the time,C,user6
training_0213,HAU,HAU/user6/3-3-2,single,Which action is performed in this video?,Pouring,Walking,Grabbing utensils,Washing dishes,B,user6
training_0214,HAU,HAU/user6/3-3-3,single,Which action is performed in this video?,Walking,Watching TV,Turning a page,Grabbing utensils,A,user6
training_0215,HAU,HAU/user6/4-1-1,single,Which action is performed in this video?,Getting dressed,Checking body temperature,Jumping jacks,Turning a page,D,user6
training_0216,HAU,HAU/user6/4-1-2,single,Which action is performed in this video?,Walking,Lying down,Eating,Standing up,D,user6
training_0217,HAU,HAU/user6/4-1-3,single,Which action is performed in this video?,Pouring,Taking a selfie,Eating,Sitting down,D,user6
training_0218,HAU,HAU/user6/5-1-1,single,Which action is performed in this video?,Writing,Playing games,Lying down,Listening to the music with headphones,D,user6
training_0219,HAU,HAU/user6/5-1-2,single,Which action is performed in this video?,Undressing,Folding clothes,Using a phone,Standing up,C,user6
training_0220,HAU,HAU/user6/5-1-3,single,Which action is performed in this video?,Using a phone,Writing,Getting dressed,Stirring,A,user6
training_0221,HAU,HAU/user6/5-2-1,single,Which action is performed in this video?,Peeling fruit,Checking the time,Getting dressed,Squats,A,user6
training_0222,HAU,HAU/user6/5-2-2,single,Which action is performed in this video?,Sitting down,Standing up,Walking,Massaging oneself,C,user6
training_0223,HAU,HAU/user6/5-2-3,single,Which action is performed in this video?,Peeling fruit,Brushing teeth,Using a phone,Checking the time,A,user6
training_0224,HAU,HAU/user6/5-3-1,single,Which action is performed in this video?,Brushing teeth,Wiping hands,Wiping surface,Checking the time,D,user6
training_0225,HAU,HAU/user6/5-3-2,single,Which action is performed in this video?,Turning a page,Reading,Checking the time,Stretching,C,user6
training_0226,HAU,HAU/user6/5-3-3,single,Which action is performed in this video?,Wiping hands,Taking medicine,Sweeping,Sitting down,D,user6
training_0227,HAU,HAU/user6/6-1-1,single,Which action is performed in this video?,Calling,Undressing,Jumping jacks,Eating,C,user6
training_0228,HAU,HAU/user6/6-1-2,single,Which action is performed in this video?,Stretching,Jumping jacks,Taking medicine,Eating,B,user6
training_0229,HAU,HAU/user6/6-1-3,single,Which action is performed in this video?,Lunges,Writing,Listening to the music with headphones,Pouring,A,user6
training_0230,HAU,HAU/user6/6-2-1,single,Which action is performed in this video?,Using a phone,Turning a page,Getting dressed,Walking,A,user6
training_0231,HAU,HAU/user6/6-2-2,single,Which action is performed in this video?,Taking medicine,Squats,Listening to the music with headphones,Watching TV,A,user6
training_0232,HAU,HAU/user6/6-2-3,single,Which action is performed in this video?,Reading,Sitting down,Checking body temperature,Calling,C,user6
training_0233,HAU,HAU/user6/7-1-1,single,Which action is performed in this video?,Massaging oneself,Turning a page,Wiping surface,Wiping hands,A,user6
training_0234,HAU,HAU/user6/7-1-2,single,Which action is performed in this video?,Turning a page,Combing hair,Sitting down,Squats,C,user6
training_0235,HAU,HAU/user6/7-1-3,single,Which action is performed in this video?,Massaging oneself,Peeling fruit,Grabbing utensils,Lying down,A,user6
training_0236,HAU,HAU/user6/7-2-1,single,Which action is performed in this video?,Combing hair,Pouring,Playing games,Writing,B,user6
training_0237,HAU,HAU/user6/7-2-2,single,Which action is performed in this video?,Lying down,Grabbing utensils,Checking body temperature,Running,B,user6
training_0238,HAU,HAU/user6/7-2-3,single,Which action is performed in this video?,Grabbing utensils,Undressing,Walking,Listening to the music with headphones,A,user6
training_0239,HAU,HAU/user6/7-3-1,single,Which action is performed in this video?,Reading,Stretching,Lunges,Listening to the music with headphones,A,user6
training_0240,HAU,HAU/user6/7-3-2,single,Which action is performed in this video?,Reading,Checking body temperature,Typing on a keyboard,Using a phone,A,user6
training_0241,HAU,HAU/user6/7-3-3,single,Which action is performed in this video?,Walking,Standing up,Peeling fruit,Massaging oneself,A,user6
training_0242,HAU,HAU/user7/1-1-1,single,Which action is performed in this video?,Playing games,Turning a page,Taking a selfie,Brushing teeth,D,user7
training_0243,HAU,HAU/user7/1-1-2,single,Which action is performed in this video?,Standing up,Using a phone,Wiping hands,Drinking,C,user7
training_0244,HAU,HAU/user7/1-1-3,single,Which action is performed in this video?,Grabbing utensils,Eating,Combing hair,Lunges,C,user7
training_0245,HAU,HAU/user7/1-2-1,single,Which action is performed in this video?,Checking body temperature,Lunges,Wiping hands,Walking,D,user7
training_0246,HAU,HAU/user7/1-2-2,single,Which action is performed in this video?,Mopping,Sitting down,Squats,Lying down,B,user7
training_0247,HAU,HAU/user7/1-2-3,single,Which action is performed in this video?,Lunges,Standing up,Wiping hands,Walking,D,user7
training_0248,HAU,HAU/user7/2-1-1,single,Which action is performed in this video?,Wiping hands,Pouring,Washing dishes,Massaging oneself,B,user7
training_0249,HAU,HAU/user7/2-1-2,single,Which action is performed in this video?,Reading,Stirring,Mopping,Taking a selfie,B,user7
training_0250,HAU,HAU/user7/2-1-3,single,Which action is performed in this video?,Massaging oneself,Pouring,Sitting down,Mopping,B,user7
training_0251,HAU,HAU/user7/2-2-1,single,Which action is performed in this video?,Folding clothes,Lunges,Using a phone,Lying down,D,user7
training_0252,HAU,HAU/user7/2-2-2,single,Which action is performed in this video?,Taking medicine,Lying down,Reading,Combing hair,B,user7
training_0253,HAU,HAU/user7/2-2-3,single,Which action is performed in this video?,Squats,Walking,Stirring,Taking medicine,C,user7
