fold,path,user,truth,prediction,confidence,correct
0,HAU/user1/7-1-3,user1,Taking medicine,Standing up,0.11117164026706843,0
0,HAU/user17/1-1-1,user17,Combing hair,Massaging oneself,0.3189487189247559,0
0,HAU/user17/1-1-2,user17,Getting dressed,Combing hair,0.27917025197530043,0
0,HAU/user17/1-1-3,user17,Getting dressed,Massaging oneself,0.3511275198013004,0
0,HAU/user17/1-2-1,user17,Checking the time,Lunges,0.38608794283210307,0
0,HAU/user17/1-2-2,user17,Checking the time,Checking the time,0.2660118566112213,1
0,HAU/user17/1-2-3,user17,Sitting down,Lunges,0.33103180967655704,0
0,HAU/user17/2-1-1,user17,Pouring,Pouring,0.19781569325677617,1
0,HAU/user17/2-1-2,user17,Pouring,Eating,0.21986339900769777,0
0,HAU/user17/2-1-3,user17,Grabbing utensils,Wiping surface,0.19089128048628548,0
0,HAU/user17/2-2-1,user17,Stirring,Lying down,0.26928330557057517,0
0,HAU/user17/2-2-2,user17,Wiping surface,Lunges,0.4402807719907844,0
0,HAU/user17/2-2-3,user17,Stirring,Lying down,0.3550870051907537,0
0,HAU/user17/3-1-1,user17,Stretching,Lunges,0.22643410852713178,0
0,HAU/user17/3-1-2,user17,Running,Lunges,0.3055118952151831,0
0,HAU/user17/3-1-3,user17,Sweeping,Lunges,0.2862015503875969,0
0,HAU/user17/3-2-1,user17,Washing dishes,Eating,0.3057905802159091,0
0,HAU/user17/3-2-2,user17,Walking,Pouring,0.29836339220309643,0
0,HAU/user17/3-2-3,user17,Walking,Eating,0.3015803529951294,0
0,HAU/user17/3-3-1,user17,Wiping surface,Lunges,0.22654618473895582,0
0,HAU/user17/3-3-2,user17,Walking,Lunges,0.2632128514056225,0
0,HAU/user17/3-3-3,user17,Walking,Lying down,0.22309972135538084,0
0,HAU/user17/4-1-1,user17,Taking medicine,Typing on a keyboard,0.20325854491572812,0
0,HAU/user17/4-1-2,user17,Typing on a keyboard,Typing on a keyboard,0.22060250222948966,1
0,HAU/user17/4-1-3,user17,Checking body temperature,Typing on a keyboard,0.24235803705483847,0
0,HAU/user17/5-1-1,user17,Undressing,Lunges,0.2607115987460815,0
0,HAU/user17/5-1-2,user17,Undressing,Lying down,0.3459777908587117,0
0,HAU/user17/5-1-3,user17,Watching TV,Lunges,0.238067920585162,0
0,HAU/user17/5-2-1,user17,Stirring,Eating,0.24154925602979405,0
0,HAU/user17/5-2-2,user17,Pouring,Pouring,0.24011391846743346,1
0,HAU/user17/5-2-3,user17,Stirring,Eating,0.31225443752477083,0
0,HAU/user17/5-3-1,user17,Eating,Checking the time,0.14094530284073895,0
0,HAU/user17/5-3-2,user17,Walking,Checking the time,0.14320027767364604,0
0,HAU/user17/5-3-3,user17,Grabbing utensils,Checking the time,0.1694868060580874,0
0,HAU/user17/6-1-1,user17,Folding clothes,Typing on a keyboard,0.14490273710721024,0
0,HAU/user17/6-1-2,user17,Getting dressed,Typing on a keyboard,0.15778188694347725,0
0,HAU/user17/6-1-3,user17,Folding clothes,Typing on a keyboard,0.12114670252372188,0
0,HAU/user17/6-2-1,user17,Listening to the music with headphones,Typing on a keyboard,0.15036388877175055,0
0,HAU/user17/6-2-2,user17,Listening to the music with headphones,Jumping jacks,0.1307682215811592,0
0,HAU/user17/6-2-3,user17,Listening to the music with headphones,Undressing,0.20102204893700348,0
0,HAU/user17/6-3-1,user17,Sitting down,Sitting down,0.10365447852027401,1
0,HAU/user17/6-3-2,user17,Walking,Lying down,0.13688815649236727,0
0,HAU/user17/6-3-3,user17,Typing on a keyboard,Checking the time,0.12462324617409853,0
0,HAU/user17/7-1-1,user17,Listening to the music with headphones,Listening to the music with headphones,0.17964809663162287,1
0,HAU/user17/7-1-2,user17,Checking body temperature,Listening to the music with headphones,0.13132637626761753,0
0,HAU/user17/7-1-3,user17,Sitting down,Listening to the music with headphones,0.19116145144101246,0
0,HAU/user17/7-2-1,user17,Peeling fruit,Pouring,0.26154012981415,0
0,HAU/user17/7-2-2,user17,Eating,Eating,0.25233529850611386,1
0,HAU/user17/7-2-3,user17,Wiping hands,Pouring,0.20020671569931311,0
0,HAU/user22/1-1-2,user22,Wiping hands,Wiping hands,0.23024542826496988,1
0,HAU/user22/1-1-3,user22,Brushing teeth,Washing face,0.41383876239481654,0
0,HAU/user22/1-2-1,user22,Listening to the music with headphones,Reading,0.1740224478980282,0
0,HAU/user22/1-2-2,user22,Reading,Reading,0.1443881650601473,1
0,HAU/user22/1-2-3,user22,Typing on a keyboard,Reading,0.2210946595324062,0
0,HAU/user22/2-1-1,user22,Drinking,Grabbing utensils,0.17393619745250471,0
0,HAU/user22/2-1-2,user22,Wiping surface,Eating,0.15721233930387074,0
0,HAU/user22/2-1-3,user22,Washing dishes,Grabbing utensils,0.17651042084923563,0
0,HAU/user22/2-2-1,user22,Combing hair,Taking a selfie,0.2418603967262745,0
0,HAU/user22/2-2-2,user22,Getting dressed,Washing face,0.3245478958410556,0
0,HAU/user22/2-2-3,user22,Getting dressed,Taking a selfie,0.21361427641631234,0
0,HAU/user22/3-1-1,user22,Walking,Eating,0.21144371877482426,0
0,HAU/user22/3-1-2,user22,Writing,Eating,0.20636650722861907,0
0,HAU/user22/3-2-1,user22,Folding clothes,Squats,0.2515222713650626,0
0,HAU/user22/3-2-2,user22,Stretching,Using a phone,0.20975828435130767,0
0,HAU/user22/3-2-3,user22,Walking,Squats,0.20691316850709593,0
0,HAU/user22/3-3-1,user22,Eating,Grabbing utensils,0.41843699840571613,0
0,HAU/user22/3-3-2,user22,Peeling fruit,Grabbing utensils,0.6974334764057496,0
0,HAU/user22/3-3-3,user22,Peeling fruit,Grabbing utensils,0.3822677814042451,0
0,HAU/user22/4-1-1,user22,Typing on a keyboard,Listening to the music with headphones,0.3433670115214818,0
0,HAU/user22/4-1-2,user22,Calling,Listening to the music with headphones,0.3123809517071012,0
0,HAU/user22/4-1-3,user22,Turning a page,Listening to the music with headphones,0.30262794787717384,0
0,HAU/user22/4-2-1,user22,Taking a selfie,Washing face,0.25185903245418456,0
0,HAU/user22/4-2-2,user22,Taking a selfie,Taking a selfie,0.3162240998756402,1
0,HAU/user22/4-2-3,user22,Walking,Taking a selfie,0.20260323246122766,0
0,HAU/user22/4-3-1,user22,Sitting down,Listening to the music with headphones,0.35096456650917557,0
0,HAU/user22/4-3-2,user22,Stirring,Calling,0.09392407156437926,0
0,HAU/user22/4-3-3,user22,Peeling fruit,Listening to the music with headphones,0.28758034497727114,0
0,HAU/user22/5-1-1,user22,Checking body temperature,Checking body temperature,0.3062519592403639,1
0,HAU/user22/5-1-2,user22,Massaging oneself,Checking body temperature,0.19919640318486628,0
0,HAU/user22/5-1-3,user22,Checking body temperature,Checking body temperature,0.19901882160000006,1
0,HAU/user22/5-2-1,user22,Walking,Listening to the music with headphones,0.20666853460974663,0
0,HAU/user22/5-2-2,user22,Using a phone,Listening to the music with headphones,0.16753215245170924,0
0,HAU/user22/5-2-3,user22,Sitting down,Listening to the music with headphones,0.18770363548638716,0
0,HAU/user22/6-1-1,user22,Getting dressed,Getting dressed,0.25943149470974375,1
0,HAU/user22/6-1-2,user22,Checking the time,Washing face,0.20400219330283376,0
0,HAU/user22/6-1-3,user22,Checking the time,Undressing,0.19156964245630725,0
0,HAU/user22/6-2-1,user22,Grabbing utensils,Listening to the music with headphones,0.12383947942854871,0
0,HAU/user22/6-2-2,user22,Massaging oneself,Listening to the music with headphones,0.11501202209083866,0
0,HAU/user22/6-2-3,user22,Sitting down,Listening to the music with headphones,0.1738253758744205,0
0,HAU/user22/7-1-1,user22,Sitting down,Listening to the music with headphones,0.13183363250272642,0
0,HAU/user22/7-1-2,user22,Sitting down,Listening to the music with headphones,0.14383507743421325,0
0,HAU/user22/7-1-3,user22,Sitting down,Listening to the music with headphones,0.1689540926172888,0
0,HAU/user22/7-2-1,user22,Undressing,Running,0.11415132054660039,0
0,HAU/user22/7-2-2,user22,Running,Standing up,0.10221541790090408,0
0,HAU/user22/7-2-3,user22,Running,Standing up,0.10123369687806229,0
0,HAU/user22/7-3-1,user22,Standing up,Standing up,0.11433911989758815,1
0,HAU/user22/7-3-2,user22,Standing up,Standing up,0.12524253445159717,1
0,HAU/user22/7-3-3,user22,Stretching,Running,0.09847281764523144,0
0,HAU/user6/1-1-1,user6,Walking,Wiping hands,0.29244770062064196,0
0,HAU/user6/1-1-2,user6,Washing face,Brushing teeth,0.3191294371067584,0
0,HAU/user6/1-1-3,user6,Washing face,Wiping hands,0.28363125573885756,0
0,HAU/user6/1-2-1,user6,Stirring,Stirring,0.2438076529206881,1
0,HAU/user6/1-2-2,user6,Peeling fruit,Peeling fruit,0.24866537821633344,1
0,HAU/user6/1-2-3,user6,Peeling fruit,Peeling fruit,0.24654434318615776,1
0,HAU/user6/2-1-1,user6,Stirring,Stirring,0.3659542629158509,1
0,HAU/user6/2-1-2,user6,Stirring,Stirring,0.32436835812455794,1
0,HAU/user6/2-1-3,user6,Grabbing utensils,Pouring,0.3594211985538237,0
0,HAU/user6/2-2-1,user6,Wiping hands,Combing hair,0.19980131666144524,0
0,HAU/user6/2-2-2,user6,Combing hair,Wiping hands,0.26505849828293176,0
0,HAU/user6/2-2-3,user6,Combing hair,Brushing teeth,0.27316603823473873,0
0,HAU/user6/2-3-1,user6,Grabbing utensils,Pouring,0.3248412997386988,0
0,HAU/user6/2-3-2,user6,Peeling fruit,Pouring,0.3341424465760307,0
0,HAU/user6/2-3-3,user6,Grabbing utensils,Pouring,0.29927055167113265,0
0,HAU/user6/3-1-1,user6,Squats,Lying down,0.2071766605753269,0
0,HAU/user6/3-1-2,user6,Walking,Lying down,0.23434916797421343,0
0,HAU/user6/3-1-3,user6,Walking,Lying down,0.16116177313887084,0
0,HAU/user6/3-2-1,user6,Drinking,Stirring,0.21632616189329837,0
0,HAU/user6/3-2-2,user6,Drinking,Stirring,0.22672468707009316,0
0,HAU/user6/3-2-3,user6,Peeling fruit,Pouring,0.18886401803232294,0
0,HAU/user6/3-3-1,user6,Walking,Undressing,0.15677730251591004,0
0,HAU/user6/3-3-2,user6,Walking,Undressing,0.14110850887021606,0
0,HAU/user6/3-3-3,user6,Walking,Lying down,0.12075858376959417,0
0,HAU/user6/4-1-1,user6,Turning a page,Listening to the music with headphones,0.2419453493131708,0
0,HAU/user6/4-1-2,user6,Standing up,Listening to the music with headphones,0.26635877538757396,0
0,HAU/user6/4-1-3,user6,Sitting down,Listening to the music with headphones,0.30682080155217906,0
0,HAU/user6/5-1-1,user6,Listening to the music with headphones,Undressing,0.37289515397267,0
0,HAU/user6/5-1-2,user6,Using a phone,Undressing,0.4729774982306817,0
0,HAU/user6/5-1-3,user6,Using a phone,Undressing,0.34168062394743975,0
0,HAU/user6/5-2-1,user6,Peeling fruit,Stirring,0.32765121665497254,0
0,HAU/user6/5-2-2,user6,Walking,Pouring,0.3344045106437671,0
0,HAU/user6/5-2-3,user6,Peeling fruit,Pouring,0.2502328909182006,0
0,HAU/user6/5-3-1,user6,Checking the time,Undressing,0.19079973052157892,0
0,HAU/user6/5-3-2,user6,Checking the time,Undressing,0.19852123753338807,0
0,HAU/user6/5-3-3,user6,Sitting down,Running,0.1349144498874921,0
0,HAU/user6/6-1-1,user6,Jumping jacks,Running,0.15370954236785045,0
0,HAU/user6/6-1-2,user6,Jumping jacks,Running,0.1797481978615344,0
0,HAU/user6/6-1-3,user6,Lunges,Running,0.19170822595679538,0
0,HAU/user6/6-2-1,user6,Using a phone,Stirring,0.36945006307562184,0
0,HAU/user6/6-2-2,user6,Taking medicine,Stirring,0.28604959463764007,0
0,HAU/user6/6-2-3,user6,Checking body temperature,Stirring,0.20234553259074914,0
0,HAU/user6/7-1-1,user6,Massaging oneself,Listening to the music with headphones,0.4007412803638967,0
0,HAU/user6/7-1-2,user6,Sitting down,Listening to the music with headphones,0.3681180042625737,0
0,HAU/user6/7-1-3,user6,Massaging oneself,Listening to the music with headphones,0.3018269017946014,0
0,HAU/user6/7-2-1,user6,Pouring,Peeling fruit,0.287773527139555,0
0,HAU/user6/7-2-2,user6,Grabbing utensils,Stirring,0.2768611439514125,0
0,HAU/user6/7-2-3,user6,Grabbing utensils,Stirring,0.30110825286278864,0
0,HAU/user6/7-3-1,user6,Reading,Squats,0.10254477789092152,0
0,HAU/user6/7-3-2,user6,Reading,Listening to the music with headphones,0.11143402225179287,0
0,HAU/user6/7-3-3,user6,Walking,Listening to the music with headphones,0.19027291847373823,0
1,HAU/user18/1-1-1,user18,Brushing teeth,Brushing teeth,0.23058406963654812,1
1,HAU/user18/1-1-2,user18,Wiping hands,Combing hair,0.21623378500926635,0
1,HAU/user18/1-1-3,user18,Brushing teeth,Brushing teeth,0.24263128825876043,1
1,HAU/user18/1-2-1,user18,Walking,Listening to the music with headphones,0.3423157214591304,0
1,HAU/user18/1-2-2,user18,Walking,Listening to the music with headphones,0.35765657759092023,0
1,HAU/user18/1-2-3,user18,Reading,Using a phone,0.1737158962463898,0
1,HAU/user18/2-1-1,user18,Sitting down,Undressing,0.19621816465619527,0
1,HAU/user18/2-1-2,user18,Calling,Undressing,0.1972078402876951,0
1,HAU/user18/2-1-3,user18,Sitting down,Undressing,0.21711128442707392,0
1,HAU/user18/2-2-1,user18,Wiping surface,Washing dishes,0.2468414009605939,0
1,HAU/user18/2-2-2,user18,Walking,Grabbing utensils,0.1792346486565468,0
1,HAU/user18/2-2-3,user18,Wiping surface,Pouring,0.15421867660035046,0
1,HAU/user18/3-1-1,user18,Sweeping,Lying down,0.1803710641896661,0
1,HAU/user18/3-1-2,user18,Sweeping,Squats,0.19001107687112548,0
1,HAU/user18/3-1-3,user18,Mopping,Squats,0.186018818796759,0
1,HAU/user18/3-2-1,user18,Washing dishes,Washing dishes,0.20146371311308103,1
1,HAU/user18/3-2-2,user18,Washing dishes,Pouring,0.17434058322975227,0
1,HAU/user18/3-2-3,user18,Stirring,Pouring,0.20067848820608816,0
1,HAU/user18/3-3-1,user18,Wiping surface,Walking,0.19406715447476658,0
1,HAU/user18/3-3-2,user18,Wiping surface,Checking the time,0.21509506740830375,0
1,HAU/user18/3-3-3,user18,Wiping surface,Calling,0.2222870267267874,0
1,HAU/user18/4-1-1,user18,Writing,Writing,0.2951892514899159,1
1,HAU/user18/4-1-2,user18,Turning a page,Listening to the music with headphones,0.22012208427008048,0
1,HAU/user18/4-1-3,user18,Listening to the music with headphones,Listening to the music with headphones,0.21182704546675568,1
1,HAU/user18/4-2-1,user18,Pouring,Peeling fruit,0.16892353414050723,0
1,HAU/user18/4-2-2,user18,Walking,Pouring,0.19605261496896956,0
1,HAU/user18/4-2-3,user18,Pouring,Pouring,0.3102341080850005,1
1,HAU/user18/5-1-1,user18,Stretching,Lunges,0.14385030864197532,0
1,HAU/user18/5-1-2,user18,Standing up,Squats,0.15344419033969048,0
1,HAU/user18/5-1-3,user18,Running,Squats,0.13631110130725616,0
1,HAU/user18/6-1-1,user18,Squats,Listening to the music with headphones,0.1555016650695352,0
1,HAU/user18/6-1-2,user18,Undressing,Writing,0.17300512101618637,0
1,HAU/user18/6-1-3,user18,Undressing,Listening to the music with headphones,0.22613723333163283,0
1,HAU/user18/6-2-1,user18,Walking,Squats,0.09807715114653823,0
1,HAU/user18/6-2-2,user18,Walking,Squats,0.12122390706197564,0
1,HAU/user18/6-2-3,user18,Stretching,Walking,0.1072754844008195,0
1,HAU/user18/7-1-1,user18,Wiping hands,Getting dressed,0.28855194910083104,0
1,HAU/user18/7-1-2,user18,Massaging oneself,Combing hair,0.2741292546851301,0
1,HAU/user18/7-1-3,user18,Getting dressed,Getting dressed,0.22562817772061408,1
1,HAU/user18/7-2-1,user18,Pouring,Peeling fruit,0.20795741913480956,0
1,HAU/user18/7-2-2,user18,Taking medicine,Peeling fruit,0.14635520712048847,0
1,HAU/user18/7-2-3,user18,Eating,Sweeping,0.16602425324054593,0
1,HAU/user2/1-1-1,user2,Folding clothes,Sitting down,0.19327607478345912,0
1,HAU/user2/1-1-2,user2,Folding clothes,Checking the time,0.16276319658278035,0
1,HAU/user2/1-1-3,user2,Folding clothes,Sitting down,0.1193214171104605,0
1,HAU/user2/1-2-1,user2,Walking,Drinking,0.2596035570955601,0
1,HAU/user2/1-2-2,user2,Stretching,Drinking,0.25789950971829223,0
1,HAU/user2/1-2-3,user2,Drinking,Drinking,0.3353464423181581,1
1,HAU/user2/2-1-1,user2,Pouring,Drinking,0.16205296121385915,0
1,HAU/user2/2-1-2,user2,Drinking,Drinking,0.20752822363979906,1
1,HAU/user2/2-1-3,user2,Grabbing utensils,Drinking,0.1912468477798903,0
1,HAU/user2/2-2-1,user2,Massaging oneself,Standing up,0.13219495157808303,0
1,HAU/user2/2-2-2,user2,Eating,Taking a selfie,0.11693841280466453,0
1,HAU/user2/2-2-3,user2,Eating,Sitting down,0.11335176727831091,0
1,HAU/user2/3-1-1,user2,Sweeping,Grabbing utensils,0.2090961873242925,0
1,HAU/user2/3-1-2,user2,Sweeping,Peeling fruit,0.21689977559669488,0
1,HAU/user2/3-1-3,user2,Mopping,Peeling fruit,0.22777663750112892,0
1,HAU/user2/3-2-2,user2,Walking,Stretching,0.0922742677490172,0
1,HAU/user2/3-2-3,user2,Reading,Stretching,0.10210807392163566,0
1,HAU/user2/4-1-1,user2,Using a phone,Watching TV,0.1768033596837945,0
1,HAU/user2/4-1-2,user2,Writing,Sitting down,0.18320742927453545,0
1,HAU/user2/4-1-3,user2,Calling,Sitting down,0.09637739891230773,0
1,HAU/user2/4-2-1,user2,Grabbing utensils,Eating,0.2959683985063909,0
1,HAU/user2/4-2-2,user2,Eating,Eating,0.30541256384944054,1
1,HAU/user2/4-2-3,user2,Eating,Eating,0.31622302831785143,1
1,HAU/user2/4-3-1,user2,Walking,Stretching,0.1438293495015753,0
1,HAU/user2/4-3-2,user2,Sitting down,Sweeping,0.12462790937042771,0
1,HAU/user2/4-3-3,user2,Sitting down,Walking,0.14384388659480452,0
1,HAU/user2/5-1-1,user2,Squats,Standing up,0.11197185188085797,0
1,HAU/user2/5-1-2,user2,Squats,Standing up,0.11990209277995029,0
1,HAU/user2/5-1-3,user2,Running,Sitting down,0.15891389525911243,0
1,HAU/user2/5-2-1,user2,Eating,Drinking,0.21579608854942037,0
1,HAU/user2/5-2-2,user2,Walking,Eating,0.20072204845941516,0
1,HAU/user2/5-2-3,user2,Peeling fruit,Eating,0.19701893652053043,0
1,HAU/user2/6-1-1,user2,Stretching,Standing up,0.14422725881707746,0
1,HAU/user2/6-1-2,user2,Pouring,Standing up,0.13962172058521682,0
1,HAU/user2/7-1-1,user2,Taking medicine,Sitting down,0.24785820607431439,0
1,HAU/user2/7-1-2,user2,Taking medicine,Sitting down,0.2399566189493459,0
1,HAU/user2/7-1-3,user2,Taking medicine,Sitting down,0.21023763309532267,0
1,HAU/user2/7-2-1,user2,Walking,Drinking,0.21502858068508657,0
1,HAU/user2/7-2-2,user2,Walking,Writing,0.10927077280964355,0
1,HAU/user2/7-2-3,user2,Walking,Drinking,0.21924823318236145,0
1,HAU/user2/7-3-1,user2,Wiping hands,Standing up,0.11163816443741886,0
1,HAU/user2/7-3-2,user2,Listening to the music with headphones,Playing games,0.10704500381388254,0
1,HAU/user2/7-3-3,user2,Listening to the music with headphones,Squats,0.10689878785265897,0
1,HAU/user23/1-1-1,user23,Wiping hands,Getting dressed,0.15497325943287357,0
1,HAU/user23/1-1-2,user23,Washing face,Getting dressed,0.1958687254243882,0
1,HAU/user23/1-1-3,user23,Washing face,Getting dressed,0.16665697016577105,0
1,HAU/user23/1-2-1,user23,Squats,Watching TV,0.2378644362883493,0
1,HAU/user23/1-2-2,user23,Squats,Jumping jacks,0.1891057940067737,0
1,HAU/user23/1-2-3,user23,Squats,Jumping jacks,0.20858915835972713,0
1,HAU/user23/2-1-1,user23,Grabbing utensils,Peeling fruit,0.1214131083217151,0
1,HAU/user23/2-1-2,user23,Grabbing utensils,Grabbing utensils,0.1933424006078271,1
1,HAU/user23/2-1-3,user23,Peeling fruit,Mopping,0.2348929142772686,0
1,HAU/user23/2-2-1,user23,Walking,Getting dressed,0.26140120363557734,0
1,HAU/user23/2-2-2,user23,Combing hair,Taking a selfie,0.185651530817146,0
1,HAU/user23/2-2-3,user23,Combing hair,Getting dressed,0.15187398008308997,0
1,HAU/user23/2-3-1,user23,Eating,Eating,0.18125943238994058,1
1,HAU/user23/2-3-2,user23,Stirring,Wiping surface,0.12413745626711946,0
1,HAU/user23/2-3-3,user23,Eating,Writing,0.5046901433000295,0
1,HAU/user23/3-1-1,user23,Wiping surface,Jumping jacks,0.16362982364104572,0
1,HAU/user23/3-1-2,user23,Wiping surface,Jumping jacks,0.1550523460083714,0
1,HAU/user23/3-1-3,user23,Wiping surface,Watching TV,0.4866666666666667,0
1,HAU/user23/3-2-1,user23,Walking,Calling,0.15889461914616745,0
1,HAU/user23/3-2-2,user23,Sitting down,Watching TV,0.2704400960449346,0
1,HAU/user23/3-2-3,user23,Sitting down,Watching TV,0.31916966261052243,0
1,HAU/user23/4-1-1,user23,Writing,Playing games,0.18093590278929336,0
1,HAU/user23/4-1-2,user23,Writing,Playing games,0.1743786904115576,0
1,HAU/user23/4-1-3,user23,Writing,Playing games,0.18129878523900536,0
1,HAU/user23/4-2-1,user23,Taking a selfie,Taking a selfie,0.1501500035221271,1
1,HAU/user23/4-2-2,user23,Taking a selfie,Taking a selfie,0.2820503340578127,1
1,HAU/user23/4-2-3,user23,Calling,Taking a selfie,0.3726814419781111,0
1,HAU/user23/4-3-1,user23,Getting dressed,Reading,0.13325337763560557,0
1,HAU/user23/4-3-2,user23,Getting dressed,Reading,0.20863447360313528,0
1,HAU/user23/4-3-3,user23,Undressing,Watching TV,0.21811701466680422,0
1,HAU/user23/5-1-1,user23,Playing games,Sitting down,0.10338784781261304,0
1,HAU/user23/5-1-2,user23,Listening to the music with headphones,Sitting down,0.13912955345807962,0
1,HAU/user23/5-1-3,user23,Listening to the music with headphones,Watching TV,0.29550024469379277,0
1,HAU/user23/5-2-1,user23,Undressing,Getting dressed,0.2938836655350246,0
1,HAU/user23/5-2-2,user23,Undressing,Getting dressed,0.20485278680703647,0
1,HAU/user23/5-2-3,user23,Getting dressed,Getting dressed,0.23416648238456622,1
1,HAU/user23/5-3-2,user23,Standing up,Watching TV,0.09554089279895725,0
1,HAU/user23/5-3-3,user23,Pouring,Massaging oneself,0.08784116672064705,0
1,HAU/user23/6-1-1,user23,Stretching,Checking the time,0.12317904169770147,0
1,HAU/user23/6-1-2,user23,Running,Massaging oneself,0.1238664525824818,0
1,HAU/user23/6-1-3,user23,Standing up,Sitting down,0.12171181665434763,0
1,HAU/user23/6-3-1,user23,Squats,Jumping jacks,0.20984672771507235,0
1,HAU/user23/6-3-2,user23,Squats,Jumping jacks,0.26649696008637735,0
1,HAU/user23/6-3-3,user23,Squats,Jumping jacks,0.3478937729196774,0
1,HAU/user23/7-1-1,user23,Taking medicine,Standing up,0.17428641696713396,0
1,HAU/user23/7-1-2,user23,Writing,Sitting down,0.0991653882292815,0
1,HAU/user23/7-1-3,user23,Writing,Sitting down,0.11082186364261062,0
1,HAU/user23/7-2-1,user23,Checking body temperature,Taking medicine,0.13977113456009685,0
1,HAU/user23/7-2-2,user23,Checking body temperature,Massaging oneself,0.1503177456426546,0
1,HAU/user23/7-2-3,user23,Taking medicine,Washing face,0.14883333501842713,0
1,HAU/user23/7-3-1,user23,Stretching,Standing up,0.1794625848669012,0
1,HAU/user23/7-3-2,user23,Using a phone,Standing up,0.12811513277798986,0
1,HAU/user23/7-3-3,user23,Using a phone,Watching TV,0.3156257147386176,0
1,HAU/user7/1-1-1,user7,Brushing teeth,Brushing teeth,0.1789231627436075,1
1,HAU/user7/1-1-2,user7,Wiping hands,Brushing teeth,0.19121666880184815,0
1,HAU/user7/1-1-3,user7,Combing hair,Combing hair,0.21202463436774346,1
1,HAU/user7/1-2-1,user7,Walking,Listening to the music with headphones,0.19238096765351456,0
1,HAU/user7/1-2-2,user7,Sitting down,Listening to the music with headphones,0.20631058520441437,0
1,HAU/user7/1-2-3,user7,Walking,Listening to the music with headphones,0.15805228340602254,0
1,HAU/user7/2-1-1,user7,Pouring,Grabbing utensils,0.23695974603777092,0
1,HAU/user7/2-1-2,user7,Stirring,Grabbing utensils,0.20249147484286908,0
1,HAU/user7/2-1-3,user7,Pouring,Grabbing utensils,0.22485246035130782,0
1,HAU/user7/2-2-1,user7,Lying down,Listening to the music with headphones,0.11732394983360664,0
1,HAU/user7/2-2-2,user7,Lying down,Listening to the music with headphones,0.10902801779806653,0
1,HAU/user7/2-2-3,user7,Stirring,Listening to the music with headphones,0.11498376597157353,0
1,HAU/user7/3-1-1,user7,Sweeping,Lunges,0.10604693216019899,0
1,HAU/user7/3-1-2,user7,Running,Lunges,0.11567998530220493,0
1,HAU/user7/3-1-3,user7,Stretching,Lunges,0.1583359457161804,0
1,HAU/user7/3-2-1,user7,Walking,Washing dishes,0.39188508790631016,0
1,HAU/user7/3-2-2,user7,Eating,Washing dishes,0.41642106507085314,0
1,HAU/user7/3-2-3,user7,Grabbing utensils,Washing dishes,0.36013322743364756,0
1,HAU/user7/3-3-1,user7,Wiping surface,Calling,0.14239813637307025,0
