split,held,qa_id,category,overlap,user,truth,pred,support,raw_support,purity,answers,semantic,correct
oof,user1,training_0024,single,3,user1,B,C,2,2,1.0,1,Wiping hands,False
oof,user1,training_0025,single,2,user1,A,A,20,35,0.35,4,Eating,True
oof,user1,training_0026,single,3,user1,D,B,2,2,0.5,2,Standing up,False
oof,user1,training_0027,single,3,user1,B,A,2,2,0.5,2,Checking the time,False
oof,user1,training_0028,single,2,user1,C,D,12,34,0.4166666666666667,4,Wiping surface,False
oof,user1,training_0029,single,2,user1,C,D,9,27,0.4444444444444444,4,Wiping hands,False
oof,user1,training_0030,single,2,user1,D,B,13,24,0.38461538461538464,4,Grabbing utensils,False
oof,user1,training_0031,single,3,user1,D,C,3,4,0.3333333333333333,3,Standing up,False
oof,user1,training_0032,single,2,user1,B,C,17,30,0.4117647058823529,4,Eating,False
oof,user1,training_0033,single,3,user1,C,B,2,2,0.5,2,Mopping,False
oof,user1,training_0812,multi,3,user1,ABD,A,1,4,1.0,1,Walking,False
oof,user1,training_0813,multi,2,user1,D,C,6,33,0.5,2,Eating,False
oof,user1,training_0814,multi,3,user1,C,D,1,2,1.0,1,Stirring,False
oof,user1,training_0815,multi,3,user1,CD,AC,2,5,1.0,1,Wiping surface|Walking,False
oof,user1,training_0816,multi,3,user1,B,DB,1,2,1.0,1,Mopping|Walking,False
oof,user1,training_0817,multi,3,user1,A,A,2,2,0.5,2,Grabbing utensils,True
oof,user1,training_0818,multi,3,user1,BCD,DC,2,3,0.5,2,Peeling fruit|Eating,False
oof,user1,training_0819,multi,3,user1,ABD,DB,7,8,0.2857142857142857,5,Grabbing utensils|Walking,False
oof,user1,training_0820,multi,3,user1,A,DB,1,2,1.0,1,Calling|Taking a selfie,False
oof,user1,training_0821,multi,3,user1,B,D,2,3,1.0,1,Stirring,False
oof,user1,training_0822,multi,3,user1,CD,DB,1,1,1.0,1,Sitting down|Massaging oneself,False
oof,user1,training_0823,multi,3,user1,ABD,B,4,5,0.25,4,Walking,False
oof,user1,training_0824,multi,2,user1,CD,A,12,44,0.3333333333333333,5,Brushing teeth,False
oof,user1,training_0825,multi,2,user1,A,A,8,37,0.5,4,Eating,True
oof,user1,training_0826,multi,2,user1,C,D,7,27,0.2857142857142857,5,Sweeping,False
oof,user1,training_0827,multi,2,user1,A,A,18,65,0.5555555555555556,7,Walking,True
oof,user1,training_0828,multi,2,user1,A,B,12,35,0.4166666666666667,5,Peeling fruit,False
oof,user1,training_0829,multi,3,user1,ABC,C,1,1,1.0,1,Walking,False
oof,user1,training_0830,multi,2,user1,ACD,CA,9,38,0.2222222222222222,5,Eating|Stirring,False
oof,user1,training_0831,multi,2,user1,BCD,C,13,48,0.23076923076923078,6,Stirring,False
oof,user1,training_0832,multi,2,user1,ABC,AC,5,32,0.4,4,Drinking|Stirring,False
oof,user1,training_0833,multi,2,user1,AB,DB,11,37,0.18181818181818182,7,Washing dishes|Drinking,False
oof,user1,training_0834,multi,3,user1,AC,D,1,1,1.0,1,Wiping surface,False
oof,user1,training_0835,multi,2,user1,D,A,8,25,0.5,3,Combing hair,False
oof,user1,training_0836,multi,3,user1,ABD,ADB,6,6,0.3333333333333333,5,Peeling fruit|Walking|Eating,False
oof,user1,training_0837,multi,3,user1,BCD,CDB,4,5,0.5,3,Peeling fruit|Walking|Eating,False
oof,user1,training_0838,multi,3,user1,ABC,CBA,5,6,0.4,4,Peeling fruit|Walking|Eating,False
oof,user1,training_0839,multi,2,user1,C,D,12,38,0.5,4,Grabbing utensils,False
oof,user1,training_0840,multi,2,user1,AB,A,9,35,0.3333333333333333,6,Sweeping,False
oof,user1,training_0841,multi,2,user1,BCD,C,12,48,0.5,5,Walking,False
oof,user1,training_0842,multi,2,user1,D,D,6,22,0.5,3,Stretching,True
oof,user1,training_0843,multi,2,user1,B,D,4,25,0.5,3,Lying down,False
oof,user1,training_0844,multi,2,user1,D,B,9,36,0.4444444444444444,4,Sweeping,False
oof,user1,training_2724,emotion,3,user1,D,C,8,8,0.5,3,Calmly,False
oof,user1,training_2725,emotion,3,user1,D,D,7,7,0.42857142857142855,3,Calmly,True
oof,user1,training_2726,emotion,3,user1,D,D,8,10,0.375,3,Hastily,True
oof,user1,training_2727,emotion,2,user1,A,D,42,73,0.47619047619047616,4,Quickly,False
oof,user1,training_2728,emotion,2,user1,A,B,38,67,0.5,3,Slowly,False
oof,user1,training_2729,emotion,3,user1,D,C,8,11,0.5,3,Calmly,False
oof,user1,training_2730,emotion,3,user1,A,A,1,1,1.0,1,Gently,True
oof,user1,training_2731,emotion,2,user1,D,A,22,41,0.3181818181818182,4,Gently,False
oof,user1,training_2732,emotion,3,user1,C,D,2,3,0.5,2,Gently,False
oof,user1,training_2733,emotion,3,user1,B,B,23,24,0.34782608695652173,3,Slowly,True
oof,user1,training_2734,emotion,3,user1,C,B,23,24,0.391304347826087,3,Slowly,False
oof,user1,training_2735,emotion,3,user1,B,D,23,24,0.391304347826087,3,Slowly,False
oof,user1,training_2736,emotion,3,user1,C,D,8,9,0.5,3,Hurriedly,False
oof,user1,training_2737,emotion,3,user1,A,A,7,9,0.42857142857142855,3,Steadily,True
oof,user1,training_2738,emotion,3,user1,B,A,7,9,0.42857142857142855,3,Steadily,False
oof,user1,training_2739,emotion,2,user1,C,A,18,35,0.4444444444444444,4,Hurriedly,False
oof,user1,training_2740,emotion,3,user1,A,D,1,1,1.0,1,Hurriedly,False
oof,user1,training_2741,emotion,2,user1,C,C,19,36,0.5263157894736842,4,Hurriedly,True
oof,user1,training_2742,emotion,2,user1,C,A,3,12,0.6666666666666666,2,Quickly,False
oof,user1,training_2743,emotion,2,user1,C,D,12,24,0.4166666666666667,3,Quickly,False
oof,user1,training_2744,emotion,3,user1,B,D,1,1,1.0,1,Impatiently,False
oof,user1,training_2745,emotion,3,user1,C,D,4,4,0.5,3,Anxiously,False
oof,user1,training_2746,emotion,3,user1,A,B,4,4,0.5,3,Anxiously,False
oof,user1,training_2747,emotion,3,user1,A,A,4,4,0.5,3,Anxiously,True
oof,user1,training_2748,emotion,3,user1,B,B,3,4,0.3333333333333333,3,Slowly,True
oof,user1,training_2749,emotion,3,user1,C,C,6,6,0.3333333333333333,3,Evenly,True
oof,user1,training_2750,emotion,3,user1,A,B,7,8,0.42857142857142855,4,Slowly,False
oof,user1,training_2751,emotion,3,user1,B,A,7,8,0.42857142857142855,3,Calmly,False
oof,user1,training_2752,emotion,2,user1,A,C,29,46,0.41379310344827586,4,Leisurely,False
oof,user1,training_2753,emotion,2,user1,C,D,30,50,0.4666666666666667,3,Leisurely,False
oof,user1,training_2754,emotion,3,user1,C,A,14,14,0.35714285714285715,3,Calmly,False
oof,user1,training_2755,emotion,3,user1,D,A,20,20,0.35,4,Slowly,False
oof,user1,training_2756,emotion,3,user1,D,D,13,13,0.38461538461538464,3,Anxiously,True
oof,user1,training_3545,single,2,user1,A,B,28,68,0.35714285714285715,3,checking the time,False
oof,user1,training_3546,single,3,user1,B,A,2,2,1.0,1,mopping the floor,False
oof,user1,training_3565,single,3,user1,C,C,19,19,0.3684210526315789,3,sweeping the floor,True
oof,user1,training_3585,single,3,user1,B,B,2,3,0.5,2,wiping a bowl,True
oof,user1,training_3673,single,3,user1,A,A,2,3,0.5,2,turning pages,True
oof,user1,training_3683,single,3,user1,C,A,7,8,0.8571428571428571,2,brushing their teeth,False
oof,user1,training_3700,single,3,user1,A,B,2,4,0.5,2,writing,False
oof,user1,training_3701,single,2,user1,A,C,25,104,0.4,3,pouring a drink,False
oof,user1,training_3702,single,3,user1,B,A,2,5,0.5,2,mopping the floor,False
oof,user1,training_3739,single,2,user1,B,A,27,89,0.37037037037037035,3,mopping the floor,False
oof,user1,training_3740,single,3,user1,C,B,1,3,1.0,1,opening the cabinet,False
oof,user1,training_3749,single,3,user1,C,C,12,13,0.75,2,combing their hair,True
oof,user1,training_3779,single,3,user1,A,A,8,8,0.5,3,standing up,True
oof,user1,training_3780,single,3,user1,A,A,7,9,0.8571428571428571,2,standing up,True
oof,user1,training_3797,single,3,user1,B,B,9,9,0.5555555555555556,2,sitting down,True
oof,user1,training_3807,single,3,user1,C,B,4,4,0.5,3,wiping a bowl,False
oof,user1,training_3808,single,3,user1,B,B,3,4,1.0,1,doing lunges,True
oof,user1,training_3877,single,3,user1,B,B,4,9,0.75,2,peeling with a knife,True
oof,user1,training_3917,single,3,user1,A,A,9,11,0.7777777777777778,2,putting on clothes,True
oof,user1,training_3918,single,3,user1,B,B,7,8,0.8571428571428571,2,putting on clothes,True
oof,user1,training_3927,single,3,user1,C,A,2,2,1.0,1,taking off their clothes,False
oof,user1,training_3937,single,3,user1,A,B,4,4,0.5,3,walking,False
oof,user1,training_3946,single,3,user1,B,C,2,3,1.0,1,taking a selfie,False
oof,user1,training_3964,object_interaction,3,user1,A,C,28,28,0.7142857142857143,2,a clothes,False
oof,user1,training_3965,object_interaction,3,user1,D,D,8,8,1.0,1,a cloth,True
oof,user1,training_4002,object_interaction,3,user1,C,C,19,19,1.0,1,a documents,True
oof,user1,training_4022,object_interaction,3,user1,D,D,6,6,1.0,1,a headphones,True
oof,user1,training_4039,object_interaction,3,user1,A,D,31,31,0.41935483870967744,3,a phone,False
oof,user1,training_4040,object_interaction,3,user1,C,A,21,23,0.6190476190476191,2,a phone,False
oof,user1,training_4057,object_interaction,3,user1,B,B,17,22,1.0,1,a smartphone,True
oof,user2,training_0034,single,3,user2,D,B,1,1,1.0,1,Sitting down,False
oof,user2,training_0035,single,3,user2,B,D,1,1,1.0,1,Washing face,False
oof,user2,training_0036,single,3,user2,C,D,1,1,1.0,1,Lying down,False
oof,user2,training_0037,single,3,user2,B,B,3,3,1.0,1,Walking,True
oof,user2,training_0038,single,2,user2,B,B,6,23,0.3333333333333333,3,Stretching,True
oof,user2,training_0039,single,2,user2,A,A,18,36,0.5555555555555556,4,Drinking,True
oof,user2,training_0040,single,2,user2,B,D,16,30,0.3125,4,Wiping hands,False
oof,user2,training_0041,single,2,user2,A,B,21,35,0.3333333333333333,4,Combing hair,False
oof,user2,training_0042,single,2,user2,B,C,13,32,0.38461538461538464,3,Standing up,False
oof,user2,training_0043,single,3,user2,B,B,2,2,0.5,2,Massaging oneself,True
oof,user2,training_0044,single,3,user2,A,D,2,2,1.0,1,Taking a selfie,False
oof,user2,training_0045,single,2,user2,C,C,13,27,0.6923076923076923,3,Eating,True
oof,user2,training_0046,single,3,user2,C,A,2,3,1.0,1,Drinking,False
oof,user2,training_0047,single,3,user2,C,A,2,2,0.5,2,Pouring,False
oof,user2,training_0048,single,2,user2,D,D,2,22,0.5,2,Mopping,True
oof,user2,training_0049,single,2,user2,B,B,37,50,0.7297297297297297,4,Walking,True
oof,user2,training_0050,single,3,user2,D,C,1,1,1.0,1,Massaging oneself,False
oof,user2,training_0051,single,3,user2,C,B,1,1,1.0,1,Wiping hands,False
oof,user2,training_0052,single,3,user2,A,A,1,1,1.0,1,Writing,True
oof,user2,training_0053,single,3,user2,D,B,3,3,0.6666666666666666,2,Wiping surface,False
oof,user2,training_0054,single,2,user2,C,C,18,30,0.3333333333333333,4,Grabbing utensils,True
oof,user2,training_0055,single,2,user2,B,B,11,27,0.5454545454545454,3,Eating,True
oof,user2,training_0056,single,3,user2,A,C,3,3,0.3333333333333333,3,Writing,False
oof,user2,training_0057,single,2,user2,A,A,36,46,0.5555555555555556,4,Walking,True
oof,user2,training_0058,single,2,user2,B,B,14,36,0.42857142857142855,4,Sitting down,True
oof,user2,training_0059,single,3,user2,A,C,2,2,0.5,2,Combing hair,False
oof,user2,training_0060,single,3,user2,B,C,1,2,1.0,1,Listening to the music with headphones,False
oof,user2,training_0061,single,3,user2,C,D,1,1,1.0,1,Listening to the music with headphones,False
oof,user2,training_0062,single,2,user2,C,D,20,43,0.45,3,Eating,False
oof,user2,training_0063,single,2,user2,C,C,22,42,0.5,4,Eating,True
oof,user2,training_0064,single,3,user2,A,A,1,1,1.0,1,Walking,True
oof,user2,training_0065,single,3,user2,B,B,2,2,0.5,2,Peeling fruit,True
oof,user2,training_0066,single,3,user2,D,C,1,1,1.0,1,Turning a page,False
oof,user2,training_0067,single,3,user2,B,A,2,2,0.5,2,Turning a page,False
oof,user2,training_0068,single,2,user2,C,B,14,30,0.6428571428571429,3,Pouring,False
oof,user2,training_0069,single,3,user2,B,A,1,1,1.0,1,Wiping hands,False
oof,user2,training_0070,single,3,user2,C,C,1,1,1.0,1,Taking medicine,True
oof,user2,training_0071,single,2,user2,B,B,30,41,0.6666666666666666,4,Walking,True
oof,user2,training_0072,single,3,user2,D,D,2,2,1.0,1,Walking,True
oof,user2,training_0073,single,2,user2,B,B,38,51,0.6578947368421053,4,Walking,True
oof,user2,training_0074,single,2,user2,A,A,12,33,0.5,4,Wiping hands,True
oof,user2,training_0075,single,2,user2,C,C,12,26,0.5,4,Listening to the music with headphones,True
oof,user2,training_0076,single,2,user2,A,C,12,23,0.5,3,Stirring,False
oof,user2,training_0845,multi,2,user2,B,B,4,22,0.5,3,Folding clothes,True
oof,user2,training_0846,multi,3,user2,A,B,2,2,0.5,2,Typing on a keyboard,False
oof,user2,training_0847,multi,3,user2,C,BD,3,3,0.3333333333333333,3,Walking|Peeling fruit,False
oof,user2,training_0848,multi,2,user2,ABC,A,17,67,0.4117647058823529,7,Walking,False
oof,user2,training_0849,multi,2,user2,ABD,B,15,69,0.4,6,Walking,False
oof,user2,training_0850,multi,3,user2,AB,AB,2,4,0.5,2,Grabbing utensils|Walking,True
oof,user2,training_0851,multi,2,user2,A,C,3,30,0.3333333333333333,3,Washing dishes,False
oof,user2,training_0852,multi,3,user2,B,BA,2,4,0.5,2,Walking|Brushing teeth,False
oof,user2,training_0853,multi,3,user2,ABC,A,2,2,0.5,2,Walking,False
oof,user2,training_0854,multi,2,user2,CD,D,6,36,0.5,3,Massaging oneself,False
oof,user2,training_0855,multi,2,user2,ACD,DA,7,37,0.2857142857142857,5,Drinking|Eating,False
oof,user2,training_0856,multi,3,user2,ACD,BA,1,1,1.0,1,Lunges|Stretching,False
oof,user2,training_0857,multi,2,user2,C,D,4,29,0.5,3,Grabbing utensils,False
oof,user2,training_0858,multi,2,user2,D,A,5,23,0.8,2,Brushing teeth,False
oof,user2,training_0859,multi,2,user2,BC,BC,15,36,0.4,7,Mopping|Sweeping,True
oof,user2,training_0860,multi,3,user2,BCD,DBC,1,1,1.0,1,Turning a page|Walking|Reading,False
oof,user2,training_0861,multi,3,user2,AC,CA,2,2,0.5,2,Reading|Turning a page,False
oof,user2,training_0862,multi,2,user2,A,D,6,24,0.5,3,Taking a selfie,False
oof,user2,training_0863,multi,3,user2,ABC,A,1,1,1.0,1,Using a phone,False
oof,user2,training_0864,multi,3,user2,AC,A,3,5,0.3333333333333333,3,Using a phone,False
oof,user2,training_0865,multi,3,user2,ACD,CAD,2,2,0.5,2,Grabbing utensils|Drinking|Eating,False
oof,user2,training_0866,multi,2,user2,C,C,6,29,0.6666666666666666,2,Grabbing utensils,True
oof,user2,training_0867,multi,3,user2,B,B,1,1,1.0,1,Grabbing utensils,True
oof,user2,training_0868,multi,2,user2,A,A,18,54,0.6111111111111112,5,Walking,True
oof,user2,training_0869,multi,3,user2,CD,C,1,1,1.0,1,Sitting down,False
oof,user2,training_0870,multi,3,user2,ACD,BD,3,4,0.6666666666666666,2,Grabbing utensils|Walking,False
oof,user2,training_0871,multi,2,user2,ABD,BA,7,19,0.42857142857142855,5,Squats|Jumping jacks,False
oof,user2,training_0872,multi,3,user2,BCD,CD,1,1,1.0,1,Squats|Jumping jacks,False
oof,user2,training_0873,multi,2,user2,A,A,4,26,0.25,4,Jumping jacks,True
oof,user2,training_0874,multi,3,user2,CD,C,1,3,1.0,1,Walking,False
oof,user2,training_0875,multi,3,user2,BCD,BDC,5,5,0.4,4,Peeling fruit|Eating|Walking,False
oof,user2,training_0876,multi,2,user2,D,D,5,32,1.0,1,Eating,True
oof,user2,training_0877,multi,3,user2,ABD,AC,1,1,1.0,1,Stirring|Lying down,False
oof,user2,training_0878,multi,3,user2,BCD,B,2,2,1.0,1,Walking,False
oof,user2,training_0879,multi,3,user2,BD,C,3,3,0.6666666666666666,2,Brushing teeth,False
oof,user2,training_0880,multi,3,user2,BC,D,1,1,1.0,1,Washing dishes,False
oof,user2,training_0881,multi,2,user2,B,D,5,26,0.4,3,Washing dishes,False
oof,user2,training_0882,multi,2,user2,AB,B,24,56,0.5416666666666666,6,Walking,False
oof,user2,training_0883,multi,3,user2,ABD,BAD,7,8,0.2857142857142857,6,Peeling fruit|Eating|Walking,False
oof,user2,training_0884,multi,3,user2,A,AC,1,2,1.0,1,Walking|Jumping jacks,False
oof,user2,training_0885,multi,3,user2,C,B,1,1,1.0,1,Eating,False
oof,user2,training_0886,multi,3,user2,C,ACB,1,2,1.0,1,Pouring|Walking|Drinking,False
oof,user2,training_0887,multi,2,user2,A,B,14,37,0.2857142857142857,5,Drinking,False
oof,user2,training_2757,emotion,2,user2,B,B,18,30,0.3888888888888889,4,Gently,True
oof,user2,training_2758,emotion,3,user2,B,D,2,4,0.5,2,Gently,False
oof,user2,training_2759,emotion,2,user2,B,C,21,34,0.42857142857142855,4,Gently,False
oof,user2,training_2760,emotion,2,user2,C,B,52,86,0.4423076923076923,3,Steadily,False
oof,user2,training_2761,emotion,3,user2,C,B,2,4,0.5,2,Rapidly,False
oof,user2,training_2762,emotion,2,user2,C,A,57,91,0.40350877192982454,4,Steadily,False
oof,user2,training_2763,emotion,3,user2,D,C,1,1,1.0,1,Calmly,False
oof,user2,training_2764,emotion,3,user2,B,B,2,3,1.0,1,Calmly,True
oof,user2,training_2765,emotion,3,user2,C,D,2,2,0.5,2,Calmly,False
oof,user2,training_2766,emotion,2,user2,C,B,9,22,0.5555555555555556,2,Frantically,False
oof,user2,training_2767,emotion,2,user2,A,B,17,37,0.35294117647058826,3,Leisurely,False
oof,user2,training_2768,emotion,3,user2,A,C,1,1,1.0,1,Leisurely,False
oof,user2,training_2769,emotion,2,user2,C,C,6,17,0.6666666666666666,3,Slowly,True
oof,user2,training_2770,emotion,2,user2,C,C,6,18,0.5,2,Meticulously,True
oof,user2,training_2771,emotion,2,user2,B,D,5,18,0.8,2,Slowly,False
oof,user2,training_2772,emotion,2,user2,D,A,13,25,0.6153846153846154,3,Slowly,False
oof,user2,training_2773,emotion,2,user2,A,B,2,9,1.0,1,Slowly,False
oof,user2,training_2774,emotion,3,user2,A,A,3,3,0.3333333333333333,3,Leisurely,True
oof,user2,training_2775,emotion,3,user2,A,A,9,9,0.3333333333333333,3,Calmly,True
oof,user2,training_2776,emotion,3,user2,B,D,4,5,0.25,4,Calmly,False
oof,user2,training_2777,emotion,3,user2,A,C,1,1,1.0,1,Hurriedly,False
oof,user2,training_2778,emotion,3,user2,D,C,1,1,1.0,1,Hurriedly,False
oof,user2,training_2779,emotion,3,user2,D,C,3,3,0.6666666666666666,2,Gracefully,False
oof,user2,training_2780,emotion,2,user2,B,C,1,5,1.0,1,Intently,False
oof,user2,training_2782,emotion,2,user2,B,C,2,2,0.5,2,Intently,False
oof,user2,training_2783,emotion,2,user2,B,D,11,22,0.5454545454545454,3,Anxiously,False
oof,user2,training_2784,emotion,2,user2,B,A,13,26,0.5384615384615384,3,Anxiously,False
oof,user2,training_2785,emotion,3,user2,D,D,7,7,0.42857142857142855,3,Anxiously,True
oof,user2,training_2786,emotion,3,user2,A,B,6,6,0.5,3,Calmly,False
oof,user2,training_2787,emotion,3,user2,A,B,1,1,1.0,1,Hurriedly,False
oof,user2,training_2788,emotion,3,user2,C,C,4,4,0.25,4,Hurriedly,True
oof,user2,training_2789,emotion,3,user2,A,A,5,7,0.4,3,Gently,True
oof,user2,training_2790,emotion,3,user2,A,B,4,7,0.5,3,Gently,False
oof,user2,training_2791,emotion,3,user2,D,C,4,4,0.5,3,Calmly,False
oof,user2,training_2792,emotion,3,user2,B,A,7,8,0.42857142857142855,3,Slowly,False
oof,user2,training_2793,emotion,3,user2,D,B,5,6,0.4,3,Slowly,False
oof,user2,training_2794,emotion,2,user2,D,B,7,17,0.7142857142857143,2,Hurriedly,False
oof,user2,training_2795,emotion,2,user2,C,B,15,34,0.4,3,Hurriedly,False
oof,user2,training_2796,emotion,2,user2,D,C,13,28,0.38461538461538464,3,Gently,False
oof,user2,training_2797,emotion,3,user2,D,A,13,14,0.3076923076923077,4,Hurriedly,False
oof,user2,training_2798,emotion,3,user2,B,C,11,11,0.36363636363636365,4,Slowly,False
oof,user2,training_2799,emotion,3,user2,C,B,10,10,0.4,3,Quickly,False
oof,user2,training_3557,single,3,user2,A,B,3,4,0.6666666666666666,2,standing up,False
oof,user2,training_3568,single,3,user2,A,A,15,15,0.6,3,sweeping the floor,True
oof,user2,training_3608,single,3,user2,C,C,12,12,0.6666666666666666,2,folding clothes,True
oof,user2,training_3609,single,3,user2,A,A,12,12,0.6666666666666666,2,folding clothes,True
oof,user2,training_3626,single,3,user2,B,C,2,2,1.0,1,wiping their hands,False
oof,user2,training_3627,single,3,user2,B,A,1,2,1.0,1,turning pages,False
oof,user2,training_3675,single,3,user2,A,B,6,8,0.8333333333333334,2,washing their face,False
oof,user2,training_3685,single,2,user2,B,A,25,92,0.4,3,doing lunges,False
oof,user2,training_3691,single,3,user2,A,A,9,11,0.6666666666666666,3,using a smartphone,True
oof,user2,training_3729,single,3,user2,A,B,4,5,1.0,1,wiping their hands,False
oof,user2,training_3730,single,3,user2,B,A,3,6,0.6666666666666666,2,reading documents,False
oof,user2,training_3743,single,3,user2,B,B,1,3,1.0,1,doing squats,True
oof,user2,training_3744,single,3,user2,C,C,1,2,1.0,1,doing squats,True
oof,user2,training_3745,single,3,user2,A,B,4,7,0.5,3,peeling fruit,False
oof,user2,training_3761,single,3,user2,B,C,11,11,0.5454545454545454,3,putting on clothes,False
oof,user2,training_3762,single,3,user2,A,A,3,3,0.3333333333333333,3,doing jumping jacks,True
oof,user2,training_3770,single,3,user2,C,C,11,12,0.8181818181818182,2,doing stretching exercises,True
oof,user2,training_3802,single,3,user2,B,B,6,7,0.8333333333333334,2,sitting down,True
oof,user2,training_3840,single,2,user2,C,A,26,73,0.38461538461538464,3,typing on the keyboard,False
oof,user2,training_3900,single,2,user2,A,C,27,79,0.37037037037037035,3,brushing their teeth,False
oof,user2,training_3901,single,3,user2,B,A,3,4,0.6666666666666666,2,turning pages,False
oof,user2,training_3902,single,3,user2,B,A,3,5,0.6666666666666666,2,turning pages,False
oof,user2,training_3930,single,2,user2,A,C,28,76,0.35714285714285715,3,putting on clothes,False
oof,user2,training_3948,single,3,user2,B,C,2,2,1.0,1,taking off their clothes,False
oof,user2,training_3949,single,2,user2,A,C,32,85,0.53125,3,using a smartphone,False
oof,user2,training_3957,single,3,user2,A,A,10,10,0.9,2,pouring a drink,True
oof,user2,training_3978,object_interaction,3,user2,C,C,28,28,0.6785714285714286,2,a clothes,True
oof,user2,training_3995,object_interaction,3,user2,B,B,17,30,0.6470588235294118,2,a phone,True
oof,user2,training_4023,object_interaction,3,user2,D,D,6,6,1.0,1,a headphones,True
oof,user2,training_4029,object_interaction,3,user2,B,B,17,27,0.6470588235294118,2,a phone,True
oof,user2,training_4030,object_interaction,3,user2,A,A,17,30,0.6470588235294118,2,a phone,True
oof,user2,training_4068,object_interaction,3,user2,D,D,9,9,1.0,1,a cabinet,True
oof,user3,training_0077,single,3,user3,C,A,4,4,0.75,2,Walking,False
oof,user3,training_0078,single,3,user3,D,A,1,2,1.0,1,Checking body temperature,False
oof,user3,training_0079,single,3,user3,C,A,3,3,1.0,1,Walking,False
oof,user3,training_0080,single,3,user3,D,B,1,1,1.0,1,Washing face,False
oof,user3,training_0081,single,2,user3,A,A,40,52,0.6,4,Walking,True
oof,user3,training_0082,single,3,user3,A,A,1,1,1.0,1,Combing hair,True
oof,user3,training_0083,single,2,user3,B,B,20,28,0.3,4,Squats,True
oof,user3,training_0084,single,3,user3,D,D,1,1,1.0,1,Squats,True
oof,user3,training_0085,single,3,user3,B,B,2,2,1.0,1,Walking,True
oof,user3,training_0086,single,3,user3,A,A,1,1,1.0,1,Walking,True
oof,user3,training_0087,single,2,user3,C,B,16,42,0.4375,4,Eating,False
oof,user3,training_0088,single,3,user3,B,C,1,1,1.0,1,Calling,False
oof,user3,training_0089,single,2,user3,B,B,19,33,0.5263157894736842,4,Peeling fruit,True
oof,user3,training_0090,single,3,user3,C,C,1,1,1.0,1,Washing dishes,True
oof,user3,training_0091,single,3,user3,A,B,1,1,1.0,1,Walking,False
oof,user3,training_0092,single,3,user3,C,C,3,3,1.0,1,Walking,True
oof,user3,training_0093,single,3,user3,D,C,2,2,0.5,2,Checking the time,False
oof,user3,training_0094,single,3,user3,D,C,1,1,1.0,1,Wiping surface,False
oof,user3,training_0095,single,2,user3,A,A,14,31,0.5,4,Drinking,True
oof,user3,training_0096,single,2,user3,B,B,19,35,0.3684210526315789,4,Turning a page,True
oof,user3,training_0097,single,3,user3,C,C,2,2,1.0,1,Eating,True
oof,user3,training_0098,single,3,user3,D,D,1,2,1.0,1,Drinking,True
oof,user3,training_0099,single,3,user3,C,C,1,1,1.0,1,Stirring,True
oof,user3,training_0100,single,3,user3,B,C,1,1,1.0,1,Walking,False
oof,user3,training_0101,single,2,user3,B,B,14,31,0.5714285714285714,4,Grabbing utensils,True
oof,user3,training_0102,single,3,user3,A,D,1,1,1.0,1,Jumping jacks,False
oof,user3,training_0103,single,2,user3,B,B,9,33,0.5555555555555556,4,Turning a page,True
oof,user3,training_0104,single,3,user3,B,C,1,1,1.0,1,Checking the time,False
oof,user3,training_0105,single,2,user3,B,A,25,41,0.32,4,Combing hair,False
oof,user3,training_0106,single,3,user3,D,D,1,1,1.0,1,Walking,True
