split,fold,block_id,block_indices,block_paths,block_size,block_regime,block_n_questions,block_universe_size,block_free_size,block_forced_actions,block_intersection_size,block_conformance,true_session_ids,true_block_pure,true_block_size,candidate_count,enumeration_status,selected_pool,selected_pool_cardinality,selected_pool_score,production_selected_pool,production_pool_match
oof,0,f0b013,"[147,148,149]","[""HAU/user4/7-2-1"",""HAU/user4/7-2-2"",""HAU/user4/7-2-3""]",3,triple,12,22,18,Eating||Massaging oneself||Sitting down||Standing up,3,1,[13],1,3,112,enumerated,Eating||Massaging oneself||Sitting down||Standing up,4,98.30510569233556,Eating||Massaging oneself||Sitting down||Standing up,1
oof,0,f0b014,"[150,151,152]","[""HAU/user22/6-1-1"",""HAU/user22/6-1-2"",""HAU/user22/6-1-3""]",3,triple,9,18,18,,3,1,[14],1,3,64,enumerated,Checking the time||Getting dressed||Undressing,3,96.79289744045336,Checking the time||Getting dressed||Undressing,1
oof,0,f0b015,"[153,154,155]","[""HAU/user17/3-2-1"",""HAU/user17/3-2-2"",""HAU/user17/3-2-3""]",3,triple,9,20,20,,3,1,[15],1,3,96,enumerated,Eating||Grabbing utensils||Walking||Washing dishes,4,101.77586164053996,Eating||Grabbing utensils||Walking||Washing dishes,1
oof,0,f0b016,"[156,157]","[""HAU/user17/1-2-2"",""HAU/user17/1-2-3""]",2,pair,8,23,19,Checking the time||Pouring||Taking a selfie||Using a phone,3,1,[16],1,2,592,enumerated,Checking the time||Eating||Grabbing utensils||Pouring||Sitting down||Taking a selfie||Using a phone||Walking,8,91.55363004875858,Checking the time||Eating||Grabbing utensils||Pouring||Sitting down||Taking a selfie||Using a phone||Walking,1
oof,0,f0b017,"[158,159,160]","[""HAU/user6/3-2-1"",""HAU/user6/3-2-2"",""HAU/user6/3-2-3""]",3,triple,9,18,18,,3,1,[17],1,3,144,enumerated,Drinking||Peeling fruit||Washing dishes,3,100.6047212423266,Drinking||Peeling fruit||Washing dishes,1
oof,0,f0b018,"[161,162]","[""HAU/user4/5-2-2"",""HAU/user4/5-2-3""]",2,pair,8,19,14,Checking the time||Getting dressed||Typing on a keyboard||Undressing||Walking,3,1,[18],1,2,32,enumerated,Checking the time||Getting dressed||Stretching||Typing on a keyboard||Undressing||Walking,6,75.49789465323954,Checking the time||Getting dressed||Stretching||Typing on a keyboard||Undressing||Walking,1
oof,0,f0b019,"[163,164,165]","[""HAU/user17/6-2-1"",""HAU/user17/6-2-2"",""HAU/user17/6-2-3""]",3,triple,6,14,14,,3,1,[19],1,3,320,enumerated,Listening to the music with headphones,1,79.13473377923376,Listening to the music with headphones,1
oof,0,f0b020,"[166,167]","[""HAU/user22/7-3-1"",""HAU/user22/7-3-2""]",2,pair,6,13,13,,3,1,[20],1,2,23,enumerated,Standing up||Stretching,2,72.98433591198548,Standing up||Stretching,1
oof,0,f0b021,"[168,169]","[""HAU/user17/6-1-1"",""HAU/user17/6-1-2""]",2,pair,8,15,11,Folding clothes||Getting dressed||Undressing||Walking,3,1,[21],1,2,16,enumerated,Folding clothes||Getting dressed||Undressing||Walking,4,65.8142628925455,Folding clothes||Getting dressed||Undressing||Walking,1
oof,0,f0b022,"[170,171,172]","[""HAU/user6/3-1-1"",""HAU/user6/3-1-2"",""HAU/user6/3-1-3""]",3,triple,12,25,20,Mopping||Squats||Standing up||Sweeping||Walking,3,1,[22],1,3,240,enumerated,Mopping||Squats||Standing up||Sweeping||Walking,5,111.40459006063074,Mopping||Squats||Standing up||Sweeping||Walking,1
oof,0,f0b023,"[173,174,175]","[""HAU/user17/2-2-1"",""HAU/user17/2-2-2"",""HAU/user17/2-2-3""]",3,triple,12,26,20,Eating||Jumping jacks||Lying down||Sitting down||Stirring||Wiping surface,3,1,[23],1,3,432,enumerated,Eating||Jumping jacks||Lying down||Sitting down||Stirring||Wiping surface,6,110.06857016095151,Eating||Jumping jacks||Lying down||Sitting down||Stirring||Wiping surface,1
oof,0,f0b024,"[176,177,178]","[""HAU/user22/4-1-1"",""HAU/user22/4-1-2"",""HAU/user22/4-1-3""]",3,triple,9,18,18,,3,1,[24],1,3,94,enumerated,Calling||Reading||Turning a page||Typing on a keyboard,4,80.25674928116152,Calling||Reading||Turning a page||Typing on a keyboard,1
oof,0,f0b025,"[179,180,181]","[""HAU/user6/3-3-1"",""HAU/user6/3-3-2"",""HAU/user6/3-3-3""]",3,triple,9,18,18,,3,1,[25],1,3,88,enumerated,Walking||Wiping surface,2,102.42177877110947,Walking||Wiping surface,1
oof,0,f0b026,"[182,183,184]","[""HAU/user22/3-2-1"",""HAU/user22/3-2-2"",""HAU/user22/3-2-3""]",3,triple,9,22,22,,3,1,[26],1,3,928,enumerated,Folding clothes||Stretching||Walking,3,118.75387372384506,Folding clothes||Stretching||Walking,1
oof,0,f0b027,"[185,186,187]","[""HAU/user17/3-3-1"",""HAU/user17/3-3-2"",""HAU/user17/3-3-3""]",3,triple,9,20,20,,3,1,[27],1,3,188,enumerated,Walking||Wiping surface,2,119.30229737984713,Walking||Wiping surface,1
oof,0,f0b028,"[188,189,190]","[""HAU/user6/5-3-1"",""HAU/user6/5-3-2"",""HAU/user6/5-3-3""]",3,triple,12,24,17,Checking the time||Drinking||Grabbing utensils||Lying down||Playing games||Sitting down||Walking,3,1,[28],1,3,128,enumerated,Checking the time||Drinking||Grabbing utensils||Lying down||Playing games||Sitting down||Walking,7,84.44477838683868,Checking the time||Drinking||Grabbing utensils||Lying down||Playing games||Sitting down||Walking,1
oof,0,f0b029,"[191,192]","[""HAU/user6/2-2-1"",""HAU/user6/2-2-2""]",2,pair,6,13,13,,3,1,[29],1,2,28,enumerated,Combing hair||Wiping hands,2,71.8931063504655,Combing hair||Wiping hands,1
oof,0,f0b030,"[193,194]","[""HAU/user6/2-1-1"",""HAU/user6/2-1-2""]",2,pair,6,17,17,,3,1,[30],1,2,540,enumerated,Grabbing utensils||Pouring||Stirring,3,95.41604957454162,Grabbing utensils||Pouring||Stirring,1
oof,0,f0b031,"[195,196,197]","[""HAU/user6/6-1-1"",""HAU/user6/6-1-2"",""HAU/user6/6-1-3""]",3,triple,9,17,17,,3,1,[31],1,3,8,enumerated,Jumping jacks||Lunges||Lying down,3,99.793534247788,Jumping jacks||Lunges||Lying down,1
oof,0,f0b032,"[198,199,200]","[""HAU/user22/4-3-1"",""HAU/user22/4-3-3"",""HAU/user22/4-3-2""]",3,triple,9,23,23,,3,1,[32],1,3,1,unsat_fallback,Drinking||Eating||Peeling fruit||Pouring||Stirring,5,123.90173562853896,Drinking||Eating||Peeling fruit||Pouring||Stirring,1
oof,0,f0b033,"[201,202]","[""HAU/user22/1-1-2"",""HAU/user22/1-1-3""]",2,pair,6,16,16,,3,1,[33],1,2,142,enumerated,Brushing teeth||Washing face||Wiping hands,3,95.3738886805483,Brushing teeth||Washing face||Wiping hands,1
oof,0,f0b034,"[203,204,205]","[""HAU/user22/3-3-1"",""HAU/user22/3-3-2"",""HAU/user22/3-3-3""]",3,triple,9,21,21,,3,1,[34],1,3,514,enumerated,Eating||Peeling fruit,2,124.63255407953986,Eating||Peeling fruit,1
oof,0,f0b035,"[206,207,208]","[""HAU/user22/2-2-1"",""HAU/user22/2-2-2"",""HAU/user22/2-2-3""]",3,triple,12,22,17,Brushing teeth||Combing hair||Getting dressed||Walking||Washing face,3,1,[35],1,3,224,enumerated,Brushing teeth||Combing hair||Getting dressed||Walking||Washing face,5,91.99619696065179,Brushing teeth||Combing hair||Getting dressed||Walking||Washing face,1
oof,0,f0b036,"[209,210,211]","[""HAU/user17/5-1-1"",""HAU/user17/5-1-2"",""HAU/user17/5-1-3""]",3,triple,9,21,21,,3,1,[36],1,3,392,enumerated,Undressing||Watching TV,2,116.30034789105031,Undressing||Watching TV,1
oof,0,f0b037,"[212,213]","[""HAU/user17/5-2-1"",""HAU/user17/5-2-2""]",2,pair,6,15,15,,3,1,[37],1,2,103,enumerated,Pouring||Stirring||Walking,3,80.04492821092927,Pouring||Stirring||Walking,1
oof,0,f0b038,"[214,215]","[""HAU/user22/3-1-1"",""HAU/user22/3-1-2""]",2,pair,6,17,17,,3,1,[38],1,2,422,enumerated,Calling||Eating||Walking||Writing,4,63.199445146621656,Calling||Eating||Walking||Writing,1
oof,0,f0b039,"[216,217]","[""HAU/user17/2-1-1"",""HAU/user17/2-1-2""]",2,pair,6,16,16,,3,1,[39],1,2,212,enumerated,Grabbing utensils||Pouring||Stirring,3,86.51281036077893,Grabbing utensils||Pouring||Stirring,1
oof,0,f0b040,"[218,219]","[""HAU/user4/2-2-1"",""HAU/user4/2-2-2""]",2,pair,6,15,15,,3,1,[40],1,2,100,enumerated,Mopping||Sweeping||Walking,3,83.65284646017534,Mopping||Sweeping||Walking,1
oof,0,f0b041,"[220,221,222]","[""HAU/user22/2-1-1"",""HAU/user22/2-1-2"",""HAU/user22/2-1-3""]",3,triple,12,22,17,Grabbing utensils||Pouring||Walking||Washing dishes||Wiping surface,3,1,[41],1,3,36,enumerated,Drinking||Grabbing utensils||Pouring||Walking||Washing dishes||Wiping surface,6,95.06174969566311,Drinking||Grabbing utensils||Pouring||Walking||Washing dishes||Wiping surface,1
oof,0,f0b042,"[223,224,225]","[""HAU/user6/4-1-1"",""HAU/user6/4-1-2"",""HAU/user6/4-1-3""]",3,triple,12,27,19,Calling||Checking the time||Listening to the music with headphones||Reading||Running||Standing up||Typing on a keyboard||Writing,3,1,[42],1,3,128,enumerated,Calling||Checking the time||Listening to the music with headphones||Reading||Running||Sitting down||Standing up||Turning a page||Typing on a keyboard||Writing,10,103.86331607223866,Calling||Checking the time||Listening to the music with headphones||Reading||Running||Sitting down||Standing up||Turning a page||Typing on a keyboard||Writing,1
oof,0,f0b043,"[226,227]","[""HAU/user22/5-2-1"",""HAU/user22/5-2-2""]",2,pair,8,16,12,Peeling fruit||Sitting down||Using a phone||Walking,3,1,[43],1,2,48,enumerated,Peeling fruit||Sitting down||Using a phone||Walking,4,68.15748625316044,Peeling fruit||Sitting down||Using a phone||Walking,1
oof,0,f0b044,"[228,229]","[""HAU/user17/5-3-1"",""HAU/user17/5-3-2""]",2,pair,6,16,16,,3,1,[44],1,2,202,enumerated,Eating||Grabbing utensils||Sitting down||Walking,4,67.89309037428109,Eating||Grabbing utensils||Sitting down||Walking,1
oof,0,f0b045,"[230,231]","[""HAU/user6/2-3-2"",""HAU/user6/2-3-3""]",2,pair,6,16,16,,3,1,[45],1,2,286,enumerated,Grabbing utensils||Peeling fruit||Walking,3,87.24133258081623,Grabbing utensils||Peeling fruit||Walking,1
oof,0,f0b046,"[232,233,234]","[""HAU/user6/1-2-1"",""HAU/user6/1-2-2"",""HAU/user6/1-2-3""]",3,triple,9,23,23,,3,1,[46],1,3,1,unsat_fallback,Drinking||Eating||Peeling fruit||Pouring||Stirring,5,127.38386966316445,Drinking||Eating||Peeling fruit||Pouring||Stirring,1
oof,0,f0b047,"[235,236,237]","[""HAU/user4/4-1-1"",""HAU/user4/4-1-2"",""HAU/user4/4-1-3""]",3,triple,9,24,24,,3,1,[47],1,3,1,unsat_fallback,Calling||Reading||Turning a page||Typing on a keyboard||Writing,5,131.2045945436634,Calling||Reading||Turning a page||Typing on a keyboard||Writing,1
oof,0,f0b048,"[238,239]","[""HAU/user17/7-1-2"",""HAU/user17/7-1-3""]",2,pair,6,14,14,,3,1,[48],1,2,64,enumerated,Checking body temperature||Checking the time||Listening to the music with headphones||Sitting down,4,72.10100590509279,Checking body temperature||Checking the time||Listening to the music with headphones||Sitting down,1
oof,0,f0b049,"[240,241,242]","[""HAU/user17/7-2-1"",""HAU/user17/7-2-2"",""HAU/user17/7-2-3""]",3,triple,9,22,22,,3,1,[49],1,3,554,enumerated,Eating||Peeling fruit||Wiping hands,3,124.06946742074699,Eating||Peeling fruit||Wiping hands,1
oof,0,f0b050,"[243,244]","[""HAU/user22/6-2-2"",""HAU/user22/6-2-3""]",2,pair,8,25,18,Drinking||Eating||Jumping jacks||Massaging oneself||Sitting down||Squats||Wiping hands,3,1,[50],1,2,1664,enumerated,Drinking||Eating||Jumping jacks||Massaging oneself||Sitting down||Squats||Stretching||Walking||Wiping hands,9,90.6502191991245,Drinking||Eating||Jumping jacks||Massaging oneself||Sitting down||Squats||Stretching||Walking||Wiping hands,1
oof,0,f0b051,"[245,246,247]","[""HAU/user4/6-1-1"",""HAU/user4/6-1-2"",""HAU/user4/6-1-3""]",3,triple,12,24,18,Calling||Listening to the music with headphones||Massaging oneself||Peeling fruit||Pouring||Using a phone,3,1,[51],1,3,368,enumerated,Calling||Grabbing utensils||Listening to the music with headphones||Massaging oneself||Peeling fruit||Pouring||Using a phone,7,89.51733774427284,Calling||Grabbing utensils||Listening to the music with headphones||Massaging oneself||Peeling fruit||Pouring||Using a phone,1
oof,0,f0b052,"[248,249,250]","[""HAU/user6/7-3-1"",""HAU/user6/7-3-2"",""HAU/user6/7-3-3""]",3,triple,12,24,20,Checking the time||Reading||Sitting down||Walking,3,1,[52],1,3,128,enumerated,Checking the time||Reading||Sitting down||Turning a page||Walking,5,108.64810305717351,Checking the time||Reading||Sitting down||Turning a page||Walking,1
oof,0,f0b053,"[251,252,253]","[""HAU/user22/1-2-1"",""HAU/user22/1-2-3"",""HAU/user22/1-2-2""]",3,triple,12,21,15,Combing hair||Listening to the music with headphones||Reading||Sitting down||Typing on a keyboard||Walking,3,1,[53],1,3,48,enumerated,Combing hair||Listening to the music with headphones||Reading||Sitting down||Typing on a keyboard||Walking,6,84.90673743630953,Combing hair||Listening to the music with headphones||Reading||Sitting down||Typing on a keyboard||Walking,1
oof,0,f0b054,"[254,255,256]","[""HAU/user6/5-2-1"",""HAU/user6/5-2-2"",""HAU/user6/5-2-3""]",3,triple,9,20,20,,3,1,[54],1,3,272,enumerated,Eating||Peeling fruit||Walking,3,116.94951779062487,Eating||Peeling fruit||Walking,1
oof,0,f0b055,"[257,258,259]","[""HAU/user17/4-1-1"",""HAU/user17/4-1-2"",""HAU/user17/4-1-3""]",3,triple,12,27,19,Checking body temperature||Checking the time||Sitting down||Squats||Standing up||Stretching||Taking medicine||Walking,3,1,[55],1,3,2844,enumerated,Checking body temperature||Checking the time||Reading||Sitting down||Squats||Standing up||Stretching||Taking medicine||Typing on a keyboard||Walking,10,90.1092733667957,Checking body temperature||Checking the time||Reading||Sitting down||Squats||Standing up||Stretching||Taking medicine||Typing on a keyboard||Walking,1
oof,0,f0b056,"[260,261,262]","[""HAU/user17/1-1-1"",""HAU/user17/1-1-2"",""HAU/user17/1-1-3""]",3,triple,12,26,22,Brushing teeth||Combing hair||Getting dressed||Wiping hands,3,1,[56],1,3,6720,enumerated,Brushing teeth||Combing hair||Getting dressed||Wiping hands,4,124.44281045003487,Brushing teeth||Combing hair||Getting dressed||Wiping hands,1
oof,0,f0b057,"[263,264]","[""HAU/user4/4-2-1"",""HAU/user4/4-2-2""]",2,pair,6,13,13,,3,1,[57],1,2,16,enumerated,Drinking||Walking||Washing dishes,3,74.48880608769595,Drinking||Walking||Washing dishes,1
oof,0,f0b058,"[265,266,267]","[""HAU/user6/7-1-1"",""HAU/user6/7-1-2"",""HAU/user6/7-1-3""]",3,triple,9,19,19,,3,1,[58],1,3,64,enumerated,Massaging oneself||Sitting down,2,110.12842826771266,Massaging oneself||Sitting down,1
oof,0,f0b059,"[268,269,270]","[""HAU/user17/3-1-1"",""HAU/user17/3-1-2"",""HAU/user17/3-1-3""]",3,triple,12,20,16,Mopping||Running||Stretching||Sweeping,3,1,[59],1,3,48,enumerated,Mopping||Running||Stretching||Sweeping,4,93.2891525373009,Mopping||Running||Stretching||Sweeping,1
oof,0,f0b060,"[271,272]","[""HAU/user4/7-1-2"",""HAU/user4/7-1-3""]",2,pair,6,15,15,,3,1,[60],1,2,160,enumerated,Peeling fruit||Taking medicine||Walking,3,78.89412337758226,Peeling fruit||Taking medicine||Walking,1
oof,0,f0b061,"[273,274,275]","[""HAU/user22/4-2-1"",""HAU/user22/4-2-2"",""HAU/user22/4-2-3""]",3,triple,9,19,19,,3,1,[61],1,3,276,enumerated,Taking a selfie||Walking,2,109.75039554235909,Taking a selfie||Walking,1
oof,1,f1b000,"[133,134]","[""HAU/user1/2-1-1"",""HAU/user1/2-1-2""]",2,pair,6,17,17,,3,1,[0],1,2,112,enumerated,Eating||Grabbing utensils||Peeling fruit||Pouring||Stirring||Walking,6,80.740209331877,Eating||Grabbing utensils||Peeling fruit||Pouring||Stirring||Walking,1
oof,1,f1b001,"[135,136,137]","[""HAU/user1/3-2-1"",""HAU/user1/3-2-2"",""HAU/user1/3-2-3""]",3,triple,12,28,22,Checking the time||Mopping||Reading||Sitting down||Standing up||Typing on a keyboard,3,1,[1],1,3,1848,enumerated,Checking the time||Lunges||Mopping||Reading||Sitting down||Squats||Standing up||Typing on a keyboard||Walking,9,96.01565280984885,Checking the time||Lunges||Mopping||Reading||Sitting down||Squats||Standing up||Typing on a keyboard||Walking,1
oof,1,f1b002,"[138,139,140]","[""HAU/user16/6-1-1"",""HAU/user16/6-1-2"",""HAU/user16/6-1-3""]",3,triple,12,22,18,Jumping jacks||Lunges||Lying down||Walking,3,1,[2],1,3,192,enumerated,Jumping jacks||Lunges||Lying down||Walking,4,106.18118566961587,Jumping jacks||Lunges||Lying down||Walking,1
oof,1,f1b003,"[141,142]","[""HAU/user16/7-2-1"",""HAU/user16/7-2-2""]",2,pair,6,16,16,,3,1,[3],1,2,364,enumerated,Eating||Grabbing utensils||Pouring||Stirring,4,88.9896481985698,Eating||Grabbing utensils||Pouring||Stirring,1
oof,1,f1b004,"[143,144,145]","[""HAU/user24/6-2-1"",""HAU/user24/6-2-2"",""HAU/user24/6-2-3""]",3,triple,12,23,19,Brushing teeth||Walking||Washing face||Wiping hands,3,1,[4],1,3,384,enumerated,Brushing teeth||Walking||Washing face||Wiping hands,4,110.69999697855702,Brushing teeth||Walking||Washing face||Wiping hands,1
oof,1,f1b005,"[146,147,148]","[""HAU/user24/3-2-1"",""HAU/user24/3-2-2"",""HAU/user24/3-2-3""]",3,triple,12,17,12,Calling||Running||Stretching||Typing on a keyboard||Walking,3,1,[5],1,3,3,enumerated,Calling||Running||Stretching||Typing on a keyboard||Walking,5,68.90376956805673,Calling||Running||Stretching||Typing on a keyboard||Walking,1
oof,1,f1b006,"[149,150,151]","[""HAU/user1/3-1-1"",""HAU/user1/3-1-2"",""HAU/user1/3-1-3""]",3,triple,9,20,20,,3,1,[6],1,3,862,enumerated,Eating||Stirring,2,112.32329567939394,Eating||Stirring,1
oof,1,f1b007,"[152,153,154]","[""HAU/user1/1-1-1"",""HAU/user1/1-1-2"",""HAU/user1/1-1-3""]",3,triple,12,20,15,Combing hair||Getting dressed||Squats||Walking||Wiping hands,3,1,[7],1,3,96,enumerated,Combing hair||Getting dressed||Jumping jacks||Squats||Walking||Wiping hands,6,75.95056264977357,Combing hair||Getting dressed||Jumping jacks||Squats||Walking||Wiping hands,1
oof,1,f1b008,"[155,156]","[""HAU/user21/4-2-1"",""HAU/user21/4-2-2""]",2,pair,6,17,17,,3,1,[8],1,2,322,enumerated,Brushing teeth||Combing hair||Washing face,3,84.18863452632876,Brushing teeth||Combing hair||Washing face,1
oof,1,f1b009,"[157,158]","[""HAU/user24/4-2-2"",""HAU/user24/4-2-3""]",2,pair,6,15,15,,3,1,[9],1,2,76,enumerated,Drinking||Peeling fruit||Reading||Walking,4,77.73801958408544,Drinking||Peeling fruit||Reading||Walking,1
oof,1,f1b010,"[159,160]","[""HAU/user1/5-1-1"",""HAU/user1/5-1-2""]",2,pair,8,19,14,Checking the time||Grabbing utensils||Listening to the music with headphones||Taking a selfie||Watching TV,3,1,[10],1,2,192,enumerated,Checking the time||Grabbing utensils||Listening to the music with headphones||Taking a selfie||Watching TV,5,82.90612026720842,Checking the time||Grabbing utensils||Listening to the music with headphones||Taking a selfie||Watching TV,1
oof,1,f1b011,"[161,162,163]","[""HAU/user21/2-1-1"",""HAU/user21/2-1-2"",""HAU/user21/2-1-3""]",3,triple,9,19,19,,3,1,[11],1,3,112,enumerated,Grabbing utensils||Mopping||Sweeping,3,109.81323405393897,Grabbing utensils||Mopping||Sweeping,1
oof,1,f1b012,"[164,165]","[""HAU/user16/1-1-2"",""HAU/user16/1-1-3""]",2,pair,6,16,16,,3,1,[12],1,2,184,enumerated,Brushing teeth||Walking||Washing face,3,92.50575063354412,Brushing teeth||Walking||Washing face,1
oof,1,f1b013,"[166,167,168]","[""HAU/user16/3-3-1"",""HAU/user16/3-3-2"",""HAU/user16/3-3-3""]",3,triple,9,23,23,,3,1,[13],1,3,1,unsat_fallback,Walking||Wiping surface,2,137.28877234220585,Walking||Wiping surface,1
oof,1,f1b014,"[169,170,171]","[""HAU/user16/3-1-1"",""HAU/user16/3-1-2"",""HAU/user16/3-1-3""]",3,triple,12,22,17,Mopping||Squats||Standing up||Sweeping||Walking,3,1,[14],1,3,192,enumerated,Mopping||Squats||Standing up||Sweeping||Walking,5,93.76239799826543,Mopping||Squats||Standing up||Sweeping||Walking,1
oof,1,f1b015,"[172,173]","[""HAU/user24/5-3-2"",""HAU/user24/5-3-3""]",2,pair,8,16,12,Playing games||Sitting down||Walking||Watching TV,3,1,[15],1,2,24,enumerated,Playing games||Sitting down||Walking||Watching TV,4,72.0,Playing games||Sitting down||Walking||Watching TV,1
oof,1,f1b016,"[174,175]","[""HAU/user21/1-1-1"",""HAU/user21/1-1-2""]",2,pair,6,16,16,,3,1,[16],1,2,143,enumerated,Brushing teeth||Walking||Wiping hands,3,80.81345998325678,Brushing teeth||Walking||Wiping hands,1
oof,1,f1b017,"[176,177,178]","[""HAU/user24/1-2-1"",""HAU/user24/1-2-2"",""HAU/user24/1-2-3""]",3,triple,12,25,19,Reading||Sitting down||Turning a page||Typing on a keyboard||Walking||Writing,3,1,[17],1,3,112,enumerated,Reading||Sitting down||Turning a page||Typing on a keyboard||Walking||Writing,6,112.69223798499223,Reading||Sitting down||Turning a page||Typing on a keyboard||Walking||Writing,1
oof,1,f1b018,"[179,180]","[""HAU/user16/4-1-3"",""HAU/user16/4-1-2""]",2,pair,8,21,14,Calling||Checking the time||Listening to the music with headphones||Running||Sitting down||Typing on a keyboard||Writing,3,1,[18],1,2,180,enumerated,Calling||Checking the time||Listening to the music with headphones||Running||Sitting down||Standing up||Turning a page||Typing on a keyboard||Writing,9,59.62949990916416,Calling||Checking the time||Listening to the music with headphones||Running||Sitting down||Standing up||Turning a page||Typing on a keyboard||Writing,1
oof,1,f1b019,"[181,182,183]","[""HAU/user21/7-2-1"",""HAU/user21/7-2-2"",""HAU/user21/7-2-3""]",3,triple,9,21,21,,3,1,[19],1,3,441,enumerated,Massaging oneself||Wiping hands,2,125.21007809850542,Massaging oneself||Wiping hands,1
oof,1,f1b020,"[184,185,186]","[""HAU/user16/5-2-1"",""HAU/user16/5-2-2"",""HAU/user16/5-2-3""]",3,triple,9,19,19,,3,1,[20],1,3,192,enumerated,Eating||Peeling fruit||Walking,3,113.73042118042396,Eating||Peeling fruit||Walking,1
oof,1,f1b021,"[187,188]","[""HAU/user1/7-1-2"",""HAU/user1/7-1-3""]",2,pair,8,19,14,Massaging oneself||Sitting down||Stretching||Taking medicine||Wiping hands,3,1,[21],1,2,64,enumerated,Massaging oneself||Sitting down||Stretching||Taking medicine||Wiping hands,5,68.15763120426752,Massaging oneself||Sitting down||Stretching||Taking medicine||Wiping hands,1
